=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.26 18:47:16 =~=~=~=~=~=~=~=~=~=~=~=

>>> 
MPY: sync filesystems
MPY: soft reboot
idx, val
0, 76
1, 94
2, 113
3, 132
4, 151
5, 168
6, 187
7, 203
8, 219
9, 237
10, 253
11, 273
12, 286
13, 303
14, 320
15, 335
16, 349
17, 366
18, 380
19, 396
20, 412
21, 426
22, 440
23, 456
24, 469
25, 488
26, 499
27, 514
28, 529
29, 544
30, 557
31, 569
32, 584
33, 598
34, 610
35, 625
36, 638
37, 652
38, 665
39, 679
40, 692
41, 706
42, 718
43, 730
44, 743
45, 755
46, 769
47, 782
48, 795
49, 806
50, 819
51, 831
52, 845
53, 858
54, 867
55, 883
56, 894
57, 905
58, 918
59, 930
60, 941
61, 953
62, 964
63, 977
64, 988
65, 1001
66, 1013
67, 1023
68, 1035
69, 1045
70, 1058
71, 1068
72, 1079
73, 1089
74, 1101
75, 1112
76, 1123
77, 1133
78, 1145
79, 1154
80, 1167
81, 1176
82, 1187
83, 1197
84, 1208
85, 1217
86, 1229
87, 1237
88, 1250
89, 1260
90, 1270
91, 1280
92, 1291
93, 1301
94, 1309
95, 1321
96, 1330
97, 1343
98, 1350
99, 1360
100, 1368
101, 1382
102, 1391
103, 1401
104, 1409
105, 1418
106, 1428
107, 1439
108, 1447
109, 1457
110, 1465
111, 1476
112, 1485
113, 1495
114, 1503
115, 1512
116, 1521
117, 1532
118, 1542
119, 1550
120, 1559
121, 1567
122, 1576
123, 1583
124, 1594
125, 1602
126, 1611
127, 1617
128, 1627
129, 1640
130, 1645
131, 1654
132, 1663
133, 1671
134, 1679
135, 1688
136, 1697
137, 1704
138, 1712
139, 1723
140, 1729
141, 1738
142, 1746
143, 1756
144, 1762
145, 1771
146, 1775
147, 1785
148, 1794
149, 1803
150, 1810
151, 1816
152, 1825
153, 1834
154, 1842
155, 1849
156, 1856
157, 1864
158, 1871
159, 1879
160, 1887
161, 1894
162, 1902
163, 1911
164, 1916
165, 1924
166, 1933
167, 1941
168, 1946
169, 1954
170, 1958
171, 1967
172, 1976
173, 1983
174, 1991
175, 1997
176, 2005
177, 2009
178, 2020
179, 2026
180, 2033
181, 2039
182, 2047
183, 2056
184, 2061
185, 2067
186, 2075
187, 2083
188, 2087
189, 2097
190, 2102
191, 2108
192, 2114
193, 2122
194, 2127
195, 2136
196, 2141
197, 2149
198, 2154
