=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.26 18:28:08 =~=~=~=~=~=~=~=~=~=~=~=

>>> 
MPY: sync filesystems
MPY: soft reboot
idx, val
0, 72
1, 93
2, 115
3, 130
4, 151
5, 170
6, 184
7, 205
8, 217
9, 236
10, 256
11, 271
12, 287
13, 303
14, 317
15, 337
16, 347
17, 367
18, 380
19, 397
20, 411
21, 427
22, 441
23, 455
24, 469
25, 484
26, 499
27, 513
28, 526
29, 542
30, 555
31, 572
32, 584
33, 598
34, 611
35, 625
36, 638
37, 653
38, 666
39, 676
40, 688
41, 703
42, 717
43, 729
44, 744
45, 756
46, 770
47, 782
48, 794
49, 807
50, 822
51, 833
52, 842
53, 858
54, 870
55, 882
56, 897
57, 901
58, 918
59, 928
60, 939
61, 957
62, 962
63, 977
64, 987
65, 1000
66, 1004
67, 1023
68, 1033
69, 1045
70, 1057
71, 1067
72, 1081
73, 1090
74, 1103
75, 1112
76, 1121
77, 1134
78, 1145
79, 1154
80, 1166
81, 1175
82, 1189
83, 1199
84, 1209
85, 1221
86, 1230
87, 1238
88, 1251
89, 1260
90, 1269
91, 1280
92, 1291
93, 1300
94, 1312
95, 1325
96, 1331
97, 1341
98, 1351
99, 1357
100, 1371
101, 1379
102, 1390
103, 1399
104, 1407
105, 1420
106, 1427
107, 1439
108, 1447
109, 1457
110, 1464
111, 1475
112, 1484
113, 1493
114, 1503
115, 1511
116, 1521
117, 1530
118, 1540
119, 1548
120, 1559
121, 1565
122, 1575
123, 1583
124, 1593
125, 1602
126, 1608
127, 1621
128, 1628
129, 1633
130, 1646
131, 1652
132, 1661
133, 1673
134, 1677
135, 1686
136, 1701
137, 1702
138, 1714
139, 1724
140, 1728
141, 1744
142, 1743
143, 1752
144, 1761
145, 1770
146, 1777
147, 1785
148, 1794
149, 1799
150, 1807
151, 1815
152, 1825
153, 1835
154, 1842
155, 1850
156, 1854
157, 1861
158, 1869
159, 1877
160, 1886
161, 1895
