#=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.28 16:30:05 =~=~=~=~=~=~=~=~=~=~=~=
#Traceback (most recent call last):
#"  File ""main.py""" line 86, in <module>
#KeyboardInterrupt: 
#MicroPython v1.22.0-preview.296.g3b56b206a.dirty on 2023-12-19; NUCLEO-L476RG with #STM32L476RG,,
#"Type ""help()"" for more information."
#>>> 
#MPY: sync filesystems
#MPY: soft reboot
idx, val,
0,70,
1,76,
2,97,
3,114,
4,136,
5,153,
6,173,
7,189,
8,208,
9,226,
10,243,
11,259,
12,276,
13,295,
14,309,
15,326,
16,341,
17,358,
18,375,
19,390,
20,404,
21,421,
22,435,
23,452,
24,466,
25,480,
26,495,
27,512,
28,525,
29,539,
30,554,
31,568,
32,582,
33,596,
34,610,
35,623,
36,638,
37,651,
38,666,
39,679,
40,693,
41,705,
42,719,
43,732,
44,745,
45,759,
46,772,
47,783,
48,796,
49,810,
50,823,
51,836,
52,849,
53,860,
54,872,
55,886,
56,898,
57,911,
58,923,
59,935,
60,947,
61,959,
62,971,
63,983,
64,995,
65,1006,
66,1018,
67,1029,
68,1041,
69,1052,
70,1063,
71,1076,
72,1087,
73,1097,
74,1109,
75,1119,
76,1131,
77,1142,
78,1153,
79,1164,
80,1175,
81,1184,
82,1196,
83,1207,
84,1218,
85,1230,
86,1240,
87,1249,
88,1259,
89,1270,
90,1281,
91,1291,
92,1301,
93,1313,
94,1321,
95,1333,
96,1342,
97,1353,
98,1362,
99,1371,
100,1381,
101,1391,
102,1402,
103,1411,
104,1421,
105,1431,
106,1440,
107,1450,
108,1461,
109,1470,
110,1480,
111,1487,
112,1498,
113,1507,
114,1516,
115,1526,
116,1535,
117,1544,
118,1553,
119,1561,
120,1571,
121,1580,
122,1589,
123,1598,
124,1607,
125,1615,
126,1624,
127,1631,
128,1642,
129,1650,
130,1659,
131,1670,
132,1676,
133,1685,
134,1691,
135,1702,
136,1708,
137,1718,
138,1726,
139,1736,
140,1742,
141,1751,
142,1759,
143,1768,
144,1775,
145,1783,
146,1791,
147,1800,
148,1807,
149,1817,
150,1825,
151,1832,
152,1839,
153,1848,
154,1857,
155,1863,
156,1871,
157,1877,
158,1886,
159,1893,
160,1901,
161,1908,
162,1918,
163,1924,
164,1931,
165,1939,
166,1946,
167,1953,
168,1962,
169,1967,
170,1977,
171,1983,
172,1990,
173,1999,
174,2006,
175,2011,
176,2019,
177,2029,
178,2033,
179,2041,
180,2046,
181,2055,
182,2061,
183,2069,
184,2075,
185,2083,
186,2090,
187,2095,
188,2103,
189,2110,
190,2117,
191,2123,
192,2130,
193,2136,
194,2143,
195,2150,
196,2157,
197,2163,
198,2170,
199,2177,
200,2184,
201,2189,
202,2195,
203,2201,
204,2209,
205,2215,
206,2221,
207,2227,
208,2233,
209,2239,
210,2246,
211,2252,
212,2259,
213,2265,
214,2271,
215,2277,
216,2283,
217,2290,
218,2295,
219,2302,
220,2307,
221,2313,
222,2321,
223,2327,
224,2331,
225,2335,
226,2343,
227,2348,
228,2355,
229,2361,
230,2367,
231,2371,
232,2378,
233,2383,
234,2388,
235,2393,
236,2400,
237,2406,
238,2411,
239,2415,
240,2422,
241,2427,
242,2433,
243,2437,
244,2444,
245,2453,
246,2456,
247,2460,
248,2463,
249,2471,
250,2475,
251,2481,
252,2486,
253,2493,
254,2496,
255,2502,
256,2506,
257,2511,
258,2517,
259,2522,
260,2528,
261,2534,
262,2538,
263,2542,
264,2547,
265,2552,
266,2558,
267,2560,
