lt,rt,lp,rp,lv,rv
514.0,505.0,264.0,234.0,0.0,0.0
20481.0,20241.0,286.0,255.0,1102.0,1064.0
41103.0,40861.0,340.0,311.0,2618.0,2715.0
62126.0,61888.0,417.0,390.0,3663.0,3757.0
78351.0,78109.0,487.0,462.0,4313.0,4438.0
99404.0,99165.0,587.0,564.0,4751.0,4844.0
120029.0,119787.0,692.0,670.0,5090.0,5140.0
140820.0,140582.0,802.0,781.0,5290.0,5337.0
162032.0,161791.0,918.0,896.0,5468.0,5422.0
178423.0,178184.0,1009.0,985.0,5550.0,5428.0
199752.0,199509.0,1129.0,1102.0,5627.0,5486.0
220717.0,220477.0,1248.0,1218.0,5675.0,5532.0
241690.0,241447.0,1368.0,1335.0,5721.0,5579.0
258662.0,258423.0,1466.0,1431.0,5772.0,5655.0
279638.0,279395.0,1587.0,1548.0,5769.0,5578.0
301040.0,300802.0,1710.0,1668.0,5747.0,5605.0
322016.0,321775.0,1831.0,1785.0,5768.0,5578.0
338580.0,338341.0,1927.0,1877.0,5793.0,5552.0
359995.0,359754.0,2050.0,1997.0,5745.0,5604.0
380959.0,380721.0,2170.0,2114.0,5723.0,5580.0
402379.0,402140.0,2293.0,2234.0,5742.0,5601.0
418948.0,418711.0,2389.0,2326.0,5791.0,5552.0
439926.0,439685.0,2510.0,2443.0,5769.0,5578.0
461302.0,461062.0,2633.0,2563.0,5755.0,5612.0
482277.0,482034.0,2753.0,2682.0,5720.0,5674.0
499281.0,499042.0,2850.0,2777.0,5703.0,5585.0
520257.0,520014.0,2970.0,2894.0,5721.0,5578.0
541222.0,540984.0,3091.0,3011.0,5771.0,5579.0
558209.0,557967.0,3189.0,3106.0,5767.0,5593.0
579172.0,578934.0,3310.0,3225.0,5773.0,5675.0
600587.0,600344.0,3433.0,3345.0,5743.0,5604.0
621549.0,621310.0,3554.0,3463.0,5771.0,5628.0
642530.0,642291.0,3674.0,3581.0,5719.0,5624.0
659509.0,659270.0,3772.0,3677.0,5770.0,5654.0
680485.0,680243.0,3893.0,3794.0,5769.0,5578.0
701887.0,701649.0,4017.0,3914.0,5793.0,5606.0
718463.0,718220.0,4112.0,4007.0,5729.0,5611.0
739426.0,739186.0,4233.0,4125.0,5773.0,5628.0
760840.0,760598.0,4357.0,4245.0,5790.0,5604.0
781803.0,781563.0,4478.0,4362.0,5771.0,5580.0
798821.0,798579.0,4575.0,4456.0,5698.0,5524.0
819783.0,819544.0,4695.0,4573.0,5725.0,5580.0
840758.0,840516.0,4816.0,4689.0,5768.0,5531.0
862132.0,861894.0,4939.0,4808.0,5755.0,5566.0
878706.0,878463.0,5034.0,4901.0,5729.0,5612.0
900107.0,899869.0,5157.0,5021.0,5749.0,5606.0
921081.0,920840.0,5277.0,5138.0,5721.0,5579.0
942042.0,941805.0,5397.0,5255.0,5724.0,5580.0
959028.0,958786.0,5495.0,5350.0,5768.0,5594.0
979989.0,979751.0,5615.0,5468.0,5726.0,5628.0
1001404.0,1001161.0,5739.0,5587.0,5790.0,5557.0
1018141.0,1017904.0,5836.0,5681.0,5793.0,5614.0
1039290.0,1039047.0,5958.0,5799.0,5770.0,5581.0
1060864.0,1060626.0,6083.0,5919.0,5794.0,5561.0
1082010.0,1081769.0,6204.0,6036.0,5721.0,5533.0
1099188.0,1098951.0,6302.0,6131.0,5703.0,5528.0
1120337.0,1120094.0,6423.0,6248.0,5722.0,5533.0
1141471.0,1141231.0,6544.0,6365.0,5725.0,5535.0
1158632.0,1158389.0,6643.0,6461.0,5767.0,5595.0
1179767.0,1179527.0,6764.0,6579.0,5726.0,5582.0
1201355.0,1201113.0,6888.0,6700.0,5744.0,5605.0
1222488.0,1222249.0,7010.0,6818.0,5772.0,5582.0
1239237.0,1238994.0,7106.0,6911.0,5729.0,5554.0
1260809.0,1260570.0,7230.0,7031.0,5749.0,5561.0
1281954.0,1281712.0,7352.0,7149.0,5769.0,5581.0
1299131.0,1298893.0,7451.0,7244.0,5762.0,5529.0
1320278.0,1320035.0,7572.0,7361.0,5723.0,5533.0
1341410.0,1341170.0,7694.0,7478.0,5773.0,5535.0
1358570.0,1358329.0,7793.0,7573.0,5767.0,5536.0
1379706.0,1379466.0,7914.0,7690.0,5725.0,5535.0
1401293.0,1401050.0,8038.0,7810.0,5744.0,5559.0
1422427.0,1422188.0,8159.0,7926.0,5724.0,5487.0
1439175.0,1438933.0,8255.0,8018.0,5730.0,5494.0
1460749.0,1460509.0,8379.0,8137.0,5749.0,5515.0
1481896.0,1481654.0,8500.0,8254.0,5721.0,5533.0
1499072.0,1498834.0,8598.0,8349.0,5704.0,5530.0
1520220.0,1519979.0,8720.0,8466.0,5769.0,5532.0
1541353.0,1541113.0,8841.0,8582.0,5725.0,5488.0
1558509.0,1558266.0,8939.0,8677.0,5710.0,5538.0
1579644.0,1579404.0,9061.0,8794.0,5773.0,5535.0
1601230.0,1600989.0,9185.0,8913.0,5744.0,5513.0
1622365.0,1622126.0,9306.0,9030.0,5725.0,5535.0
1639113.0,1638872.0,9402.0,9122.0,5729.0,5493.0
1660687.0,1660448.0,9526.0,9241.0,5749.0,5515.0
1681835.0,1681594.0,9647.0,9358.0,5721.0,5533.0
1699012.0,1698774.0,9746.0,9452.0,5762.0,5471.0
1720158.0,1719917.0,9868.0,9568.0,5770.0,5486.0
1741295.0,1741055.0,9989.0,9686.0,5725.0,5582.0
1758453.0,1758210.0,10088.0,9781.0,5768.0,5537.0
1779674.0,1779436.0,10209.0,9899.0,5702.0,5559.0
1801351.0,1801108.0,10333.0,10019.0,5721.0,5537.0
1818258.0,1818018.0,10431.0,10112.0,5794.0,5499.0
1839575.0,1839332.0,10553.0,10229.0,5724.0,5489.0
1861292.0,1861052.0,10678.0,10348.0,5756.0,5478.0
1878209.0,1877968.0,10775.0,10441.0,5731.0,5497.0
1899955.0,1899717.0,10899.0,10560.0,5703.0,5472.0
1921274.0,1921031.0,11022.0,10677.0,5769.0,5488.0
1938180.0,1937943.0,11119.0,10770.0,5735.0,5499.0
1959939.0,1959698.0,11243.0,10889.0,5700.0,5470.0
1981247.0,1981008.0,11365.0,11006.0,5725.0,5490.0
1998610.0,1998367.0,11465.0,11101.0,5757.0,5472.0
