lt,rt,lp,rp,lv,rv
1138.0,1113.0,0.6252181,-0.5465194,0.0,0.0
22572.0,22483.0,0.7520106,-0.4240991,207.0,201.0
45093.0,45000.0,0.8132208,-0.3672611,95.0,88.0
61536.0,61443.0,0.6908004,-0.5159143,-260.0,-316.0
83764.0,83669.0,0.6339624,-0.5814967,-89.0,-103.0
100894.0,100803.0,0.7913599,-0.4240991,321.0,321.0
123130.0,123038.0,1.13676,-0.07869884,543.0,543.0
145753.0,145659.0,1.464672,0.2710736,507.0,541.0
162382.0,162291.0,1.525882,0.3497723,128.0,165.0
184436.0,184344.0,1.385973,0.2011191,-222.0,-235.0
201663.0,201575.0,1.167365,-0.0349773,-444.0,-479.0
223998.0,223903.0,0.7694992,-0.2754458,-623.0,-376.0
241441.0,241348.0,0.5552636,-0.2273521,-429.0,96.0
263665.0,263571.0,0.6295902,0.03060502,117.0,406.0
285908.0,285810.0,0.9137803,0.4109825,447.0,598.0
303044.0,302949.0,1.224203,0.6864283,634.0,562.0
325098.0,325006.0,1.68328,0.7782435,728.0,145.0
342103.0,342013.0,1.984958,0.6383345,621.0,-287.0
364246.0,364157.0,2.072401,0.3235394,138.0,-497.0
380957.0,380869.0,1.949981,0.1530253,-256.0,-357.0
403620.0,403530.0,1.665791,0.2535849,-438.0,155.0
425763.0,425665.0,1.285414,0.5596357,-601.0,483.0
442929.0,442833.0,1.066806,0.7563827,-445.0,401.0
465060.0,464963.0,1.097411,0.7039168,48.0,-82.0
481571.0,481478.0,1.254808,0.5290307,333.0,-370.0
504126.0,504032.0,1.587092,0.4328433,515.0,-149.0
520829.0,520737.0,1.884399,0.5683801,622.0,283.0
543336.0,543243.0,2.343475,0.8962916,713.0,509.0
565382.0,565287.0,2.732597,1.17611,617.0,444.0
581829.0,581738.0,2.811296,1.167365,167.0,-18.0
604199.0,604111.0,2.675759,0.935641,-212.0,-362.0
620904.0,620815.0,2.483384,0.8132207,-402.0,-256.0
643582.0,643487.0,2.111751,0.9618739,-573.0,229.0
665708.0,665609.0,1.888771,1.289786,-352.0,518.0
682329.0,682233.0,1.958725,1.464672,147.0,368.0
704706.0,704609.0,2.194822,1.390345,369.0,-116.0
721317.0,721229.0,2.43529,1.202343,506.0,-396.0
743723.0,743632.0,2.662642,1.049317,355.0,-239.0
765756.0,765665.0,2.579571,1.184854,-131.0,215.0
782376.0,782283.0,2.404685,1.399089,-368.0,451.0
804830.0,804733.0,2.325986,1.766351,-122.0,572.0
821442.0,821347.0,2.457151,1.954353,276.0,396.0
843847.0,843754.0,2.767574,1.893143,484.0,-95.0
865786.0,865692.0,2.938088,1.648302,272.0,-390.0
882402.0,882313.0,2.846272,1.390345,-193.0,-543.0
904946.0,904853.0,2.592688,1.215459,-393.0,-271.0
921644.0,921551.0,2.470267,1.311646,-256.0,201.0
944127.0,944034.0,2.583943,1.595837,176.0,442.0
960649.0,960553.0,2.789435,1.880027,435.0,601.0
982591.0,982498.0,3.169812,2.133612,606.0,404.0
1004958.0,1004864.0,3.397164,2.046169,355.0,-136.0
1021746.0,1021658.0,3.32721,1.853794,-145.0,-401.0
1044415.0,1044320.0,3.073625,1.74449,-391.0,-168.0
1061195.0,1061105.0,2.951205,1.86691,-255.0,255.0
1083290.0,1083193.0,3.069253,2.159845,187.0,464.0
1105824.0,1105730.0,3.375304,2.325987,475.0,258.0
1122505.0,1122414.0,3.537073,2.242916,339.0,-174.0
1145173.0,1145081.0,3.445258,1.963098,-141.0,-432.0
1162042.0,1161950.0,3.405909,1.810072,-81.0,-317.0
1184229.0,1184141.0,3.580795,1.901888,275.0,144.0
1201341.0,1201252.0,3.681355,2.098634,205.0,402.0
1223443.0,1223349.0,3.554562,2.461523,-200.0,574.0
1240681.0,1240586.0,3.502096,2.789435,-106.0,665.0
1262885.0,1262788.0,3.668238,3.025531,261.0,372.0
1284974.0,1284880.0,3.978661,2.924972,491.0,-159.0
1302190.0,1302100.0,4.144803,2.723853,337.0,-408.0
1324380.0,1324290.0,4.070477,2.378452,-117.0,-544.0
1341715.0,1341622.0,3.891218,2.19045,-361.0,-379.0
1363901.0,1363807.0,3.795031,2.269149,-151.0,124.0
1380680.0,1380587.0,3.908707,2.457151,237.0,392.0
1403188.0,1403100.0,4.21913,2.824412,482.0,571.0
1425211.0,1425118.0,4.394016,3.248511,277.0,674.0
1442348.0,1442256.0,4.306573,3.484607,-178.0,482.0
1464544.0,1464447.0,4.0355,3.471491,-427.0,-20.0
1481134.0,1481040.0,3.891218,3.318466,-304.0,-322.0
1503850.0,1503755.0,3.991778,2.994926,154.0,-498.0
1520627.0,1520534.0,4.184153,2.828784,401.0,-346.0
1543279.0,1543188.0,4.529553,2.924972,533.0,148.0
1565366.0,1565276.0,4.7263,3.187301,311.0,415.0
1581887.0,1581796.0,4.660717,3.445258,-138.0,546.0
1604501.0,1604403.0,4.437737,3.628889,-345.0,284.0
1621275.0,1621181.0,4.332806,3.554562,-218.0,-155.0
1644009.0,1643916.0,4.455226,3.300977,188.0,-390.0
1660784.0,1660691.0,4.647601,3.16544,401.0,-282.0
1682858.0,1682767.0,4.984257,3.270372,533.0,166.0
1705375.0,1705284.0,5.176631,3.558934,299.0,448.0
1722043.0,1721952.0,5.111049,3.83438,-137.0,578.0
1744595.0,1744498.0,4.883697,4.035499,-352.0,312.0
1761366.0,1761271.0,4.783137,3.965545,-209.0,-145.0
1783644.0,1783549.0,4.905558,3.725076,192.0,-377.0
1800837.0,1800749.0,5.106677,3.593912,409.0,-266.0
1823027.0,1822938.0,5.233469,3.694471,199.0,158.0
1845569.0,1845473.0,5.080443,3.965545,-237.0,420.0
1862340.0,1862244.0,5.001745,4.227874,-164.0,547.0
1884513.0,1884416.0,5.150398,4.411504,234.0,289.0
1901607.0,1901515.0,5.364634,4.337178,438.0,-152.0
1923777.0,1923687.0,5.495799,4.087965,207.0,-393.0
1941011.0,1940923.0,5.408356,3.961173,-177.0,-257.0
1963282.0,1963187.0,5.163515,4.079221,-384.0,185.0
1985454.0,1985355.0,5.041095,4.367783,-193.0,455.0
