lt,rt,lp,rp,lv,rv
1173.0,1148.0,0.01311646,0.004372155,0.0,0.0
22863.0,22716.0,0.1049317,0.09181526,148.0,142.0
39488.0,39337.0,0.2667015,0.253585,340.0,340.0
61747.0,61593.0,0.367261,0.3585167,158.0,165.0
83576.0,83422.0,0.2667015,0.2623293,-161.0,-154.0
100741.0,100592.0,0.1267925,0.1093039,-285.0,-311.0
123021.0,122869.0,0.03934941,0.008744299,-137.0,-157.0
140192.0,140044.0,0.1180482,0.08307094,160.0,151.0
162818.0,162666.0,0.3366559,0.3016787,338.0,338.0
179515.0,179364.0,0.5334029,0.5115421,412.0,439.0
202078.0,201924.0,0.6864283,0.6689396,237.0,244.0
224164.0,224014.0,0.6077295,0.5814965,-124.0,-138.0
241038.0,240889.0,0.4765649,0.537775,-272.0,-90.0
263552.0,263400.0,0.4197269,0.6601953,-88.0,190.0
280235.0,280084.0,0.5159143,0.821965,201.0,339.0
302709.0,302555.0,0.7214056,0.9268968,320.0,163.0
319399.0,319249.0,0.9181526,0.8481979,412.0,-165.0
341583.0,341431.0,1.053689,0.6558231,213.0,-303.0
364089.0,363940.0,0.9837349,0.5771244,-108.0,-122.0
380965.0,380816.0,0.8613146,0.6645675,-253.0,181.0
403622.0,403471.0,0.8044765,0.8613144,-87.0,303.0
420303.0,420155.0,0.8962918,1.044945,192.0,385.0
442308.0,442154.0,1.106155,1.333507,333.0,459.0
464629.0,464474.0,1.385973,1.490905,438.0,246.0
481138.0,480987.0,1.517138,1.451555,277.0,-83.0
503500.0,503345.0,1.482161,1.294158,-54.0,-246.0
520085.0,519939.0,1.372857,1.132388,-230.0,-341.0
542175.0,542023.0,1.162993,1.044945,-332.0,-138.0
564680.0,564528.0,1.062434,1.167365,-156.0,190.0
581281.0,581134.0,1.149877,1.324763,184.0,331.0
603663.0,603509.0,1.350996,1.595836,314.0,423.0
620172.0,620021.0,1.547743,1.727001,416.0,277.0
642080.0,641925.0,1.831933,1.661419,453.0,-104.0
664484.0,664336.0,1.993703,1.473416,252.0,-293.0
681084.0,680936.0,1.945609,1.394717,-101.0,-165.0
703630.0,703480.0,1.801328,1.48216,-224.0,135.0
720141.0,719993.0,1.64393,1.626441,-333.0,305.0
742047.0,741892.0,1.565232,1.86691,-125.0,384.0
764372.0,764219.0,1.678908,1.984958,178.0,185.0
780884.0,780737.0,1.8057,1.919376,268.0,-138.0
803166.0,803017.0,2.02868,1.910631,350.0,-13.0
819577.0,819428.0,2.133612,2.024307,223.0,242.0
841473.0,841320.0,2.06803,2.234171,-104.0,335.0
863791.0,863636.0,2.050541,2.330358,-27.0,150.0
880282.0,880132.0,2.151101,2.264776,213.0,-139.0
902730.0,902580.0,2.369708,2.072401,340.0,-300.0
919322.0,919174.0,2.47464,1.976214,221.0,-202.0
941221.0,941068.0,2.435291,2.054913,-62.0,125.0
963528.0,963377.0,2.286637,2.247288,-233.0,301.0
980123.0,979971.0,2.229799,2.43529,-119.0,396.0
1002488.0,1002334.0,2.330359,2.55771,157.0,191.0
1024447.0,1024296.0,2.527106,2.474639,313.0,-132.0
1041209.0,1041061.0,2.715108,2.439662,392.0,-73.0
