lt,rt,lp,rp,lv,rv
1079.0,1050.0,-0.0,-0.0,0.0,0.0
21215.0,21118.0,0.01748862,0.02186078,30.0,38.0
37462.0,37322.0,0.05683801,0.05683801,84.0,75.0
59392.0,59249.0,0.09181524,0.08307094,55.0,41.0
80884.0,80740.0,0.1093039,0.1093039,28.0,42.0
97355.0,97215.0,0.1355368,0.139909,55.0,65.0
118566.0,118423.0,0.1880026,0.1836305,86.0,72.0
140038.0,139895.0,0.227352,0.2229799,64.0,64.0
161854.0,161713.0,0.2667014,0.2667014,63.0,70.0
178036.0,177896.0,0.2973065,0.2973065,66.0,66.0
199974.0,199831.0,0.3454002,0.3410281,76.0,69.0
221443.0,221301.0,0.3891218,0.3847496,71.0,71.0
237621.0,237481.0,0.4197268,0.4153547,66.0,66.0
259517.0,259374.0,0.4634484,0.4634484,69.0,76.0
280982.0,280838.0,0.50717,0.50717,71.0,71.0
297281.0,297140.0,0.5421472,0.5421472,75.0,75.0
318740.0,318597.0,0.5902409,0.5902409,78.0,78.0
340211.0,340067.0,0.6339624,0.6383346,71.0,78.0
362104.0,361966.0,0.6864283,0.6864283,83.0,76.0
378287.0,378147.0,0.7214056,0.7257776,75.0,85.0
400221.0,400078.0,0.7694993,0.7694992,76.0,69.0
421688.0,421545.0,0.8175929,0.8175928,78.0,78.0
437866.0,437726.0,0.8525702,0.8525702,75.0,75.0
459753.0,459610.0,0.9006639,0.9006638,76.0,76.0
481219.0,481075.0,0.9487576,0.9487575,78.0,78.0
497864.0,497723.0,0.9881069,0.9881068,82.0,82.0
519322.0,519178.0,1.040573,1.040573,85.0,85.0
540608.0,540464.0,1.088666,1.084294,79.0,71.0
557031.0,556890.0,1.123644,1.123644,74.0,83.0
578309.0,578165.0,1.17611,1.17611,86.0,86.0
599888.0,599743.0,1.224203,1.224203,78.0,78.0
621165.0,621022.0,1.272297,1.272297,79.0,79.0
637165.0,637025.0,1.311646,1.307274,86.0,76.0
658869.0,658727.0,1.35974,1.35974,77.0,84.0
679975.0,679831.0,1.407834,1.412206,79.0,87.0
701724.0,701580.0,1.460299,1.464672,84.0,84.0
717718.0,717578.0,1.499649,1.499649,86.0,76.0
739000.0,738857.0,1.547743,1.552115,79.0,86.0
760710.0,760566.0,1.600209,1.604581,84.0,84.0
781986.0,781842.0,1.648302,1.652675,79.0,79.0
798449.0,798309.0,1.683279,1.692024,74.0,83.0
819722.0,819579.0,1.735745,1.74449,86.0,86.0
840915.0,840772.0,1.788211,1.792584,86.0,79.0
857343.0,857202.0,1.827561,1.831933,83.0,83.0
900356.0,900212.0,1.932492,1.936865,84.0,84.0
921631.0,921487.0,1.980586,1.984959,79.0,79.0
937626.0,937486.0,2.019935,2.019936,86.0,76.0
959323.0,959180.0,2.072401,2.076774,84.0,91.0
980592.0,980448.0,2.120495,2.124868,79.0,79.0
997047.0,996907.0,2.159844,2.164217,83.0,83.0
1018313.0,1018169.0,2.21231,2.216683,86.0,86.0
1039669.0,1039525.0,2.264776,2.269149,85.0,85.0
1061528.0,1061384.0,2.31287,2.321615,77.0,84.0
1077601.0,1077461.0,2.352219,2.360964,85.0,85.0
1099498.0,1099354.0,2.409057,2.41343,90.0,83.0
1120838.0,1120694.0,2.457151,2.465896,78.0,86.0
1142274.0,1142134.0,2.505245,2.51399,78.0,78.0
1158769.0,1158630.0,2.548966,2.557711,92.0,92.0
1180200.0,1180056.0,2.601432,2.605805,85.0,78.0
1202095.0,1201954.0,2.649526,2.658271,76.0,83.0
1218246.0,1218105.0,2.688875,2.701992,85.0,94.0
1239670.0,1239527.0,2.741341,2.750086,85.0,78.0
1261522.0,1261379.0,2.793807,2.802552,84.0,84.0
1277667.0,1277527.0,2.833157,2.841901,85.0,85.0
1299558.0,1299415.0,2.889995,2.894367,90.0,83.0
1320983.0,1320839.0,2.938088,2.946833,78.0,85.0
1337131.0,1336992.0,2.973066,2.986182,75.0,85.0
1358979.0,1358836.0,3.029904,3.038648,91.0,84.0
1380402.0,1380258.0,3.08237,3.091114,85.0,85.0
1402216.0,1402072.0,3.130463,3.139208,77.0,77.0
1418359.0,1418219.0,3.174185,3.178557,94.0,85.0
1439778.0,1439635.0,3.226651,3.235395,85.0,92.0
1461628.0,1461484.0,3.279117,3.287861,84.0,84.0
1477774.0,1477634.0,3.314094,3.322839,75.0,75.0
1499659.0,1499516.0,3.370932,3.379677,90.0,90.0
1521077.0,1520934.0,3.423398,3.432142,85.0,85.0
1537225.0,1537086.0,3.462747,3.471492,85.0,85.0
1559066.0,1558925.0,3.515213,3.523958,84.0,84.0
1580485.0,1580341.0,3.572051,3.576424,92.0,85.0
1597097.0,1596958.0,3.6114,3.615773,82.0,82.0
1618347.0,1618203.0,3.659494,3.668239,79.0,86.0
1639763.0,1639620.0,3.71196,3.720705,85.0,85.0
1661531.0,1661388.0,3.768798,3.773171,91.0,84.0
1677673.0,1677533.0,3.808147,3.81252,85.0,85.0
1699464.0,1699322.0,3.860613,3.864986,84.0,84.0
1720879.0,1720735.0,3.913079,3.917452,85.0,85.0
1742298.0,1742159.0,3.965545,3.969918,85.0,85.0
1758874.0,1758734.0,4.004895,4.013639,83.0,92.0
1780282.0,1780139.0,4.057361,4.061733,85.0,78.0
1802161.0,1802018.0,4.109827,4.114199,83.0,83.0
1818302.0,1818161.0,4.144804,4.153549,75.0,85.0
1839705.0,1839561.0,4.201642,4.210387,92.0,92.0
1861539.0,1861395.0,4.254108,4.258481,84.0,77.0
1877677.0,1877536.0,4.293458,4.29783,85.0,85.0
1899463.0,1899321.0,4.345923,4.350296,84.0,84.0
1920871.0,1920727.0,4.402761,4.402762,92.0,85.0
1942276.0,1942133.0,4.450855,4.455228,78.0,85.0
1958840.0,1958700.0,4.490205,4.494577,83.0,83.0
1980246.0,1980103.0,4.542671,4.547043,85.0,85.0
