lt,rt,lp,rp,lv,rv
1062.0,1047.0,0.2098634,0.1617697,0.0,0.0
16645.0,16545.0,0.253585,0.2054913,98.0,99.0
38220.0,38114.0,0.3934939,0.3585167,227.0,248.0
59599.0,59494.0,0.537775,0.5202865,236.0,264.0
80892.0,80787.0,0.6645675,0.6514511,208.0,215.0
97459.0,97359.0,0.7694993,0.7432663,221.0,193.0
118841.0,118737.0,0.9137803,0.8919196,236.0,243.0
140864.0,140760.0,1.066806,1.053689,243.0,257.0
157003.0,156901.0,1.180482,1.171738,246.0,255.0
178384.0,178280.0,1.333507,1.324763,250.0,250.0
200185.0,200081.0,1.495277,1.486533,259.0,259.0
216325.0,216222.0,1.613325,1.604581,255.0,255.0
238166.0,238063.0,1.770723,1.761978,252.0,252.0
259537.0,259431.0,1.923748,1.915004,250.0,250.0
280907.0,280803.0,2.081146,2.068029,257.0,250.0
297469.0,297367.0,2.199194,2.190449,249.0,258.0
318841.0,318738.0,2.347847,2.343475,243.0,250.0
340685.0,340580.0,2.505244,2.505244,252.0,259.0
356818.0,356716.0,2.623293,2.623293,256.0,256.0
378191.0,378088.0,2.78069,2.776318,257.0,250.0
399899.0,399794.0,2.938088,2.933716,253.0,253.0
421266.0,421161.0,3.095485,3.091113,257.0,257.0
437868.0,437766.0,3.213533,3.213533,248.0,258.0
459236.0,459132.0,3.366559,3.366559,250.0,250.0
480607.0,480501.0,3.523956,3.523956,257.0,257.0
497169.0,497068.0,3.646377,3.650749,258.0,267.0
518540.0,518435.0,3.803774,3.799402,257.0,243.0
540373.0,540268.0,3.9568,3.9568,245.0,252.0
556159.0,556059.0,4.070476,4.074848,251.0,261.0
577528.0,577423.0,4.227873,4.232245,257.0,257.0
599316.0,599210.0,4.389643,4.389643,259.0,252.0
620675.0,620571.0,4.542669,4.538297,250.0,243.0
637280.0,637178.0,4.665089,4.665089,258.0,267.0
658645.0,658540.0,4.818115,4.818115,250.0,250.0
680007.0,679902.0,4.97114,4.97114,250.0,250.0
696392.0,696290.0,5.089189,5.093561,252.0,261.0
717753.0,717649.0,5.246586,5.250958,257.0,257.0
739580.0,739475.0,5.408356,5.403984,259.0,245.0
760936.0,760831.0,5.561382,5.561382,250.0,257.0
777066.0,776965.0,5.67943,5.683802,256.0,265.0
798767.0,798662.0,5.8412,5.8412,260.0,253.0
819775.0,819671.0,5.994226,5.989853,254.0,247.0
836381.0,836278.0,6.112274,6.112273,248.0,257.0
857735.0,857631.0,6.265299,6.269671,250.0,257.0
879091.0,878986.0,6.427069,6.422697,265.0,250.0
900873.0,900768.0,6.580095,6.584466,245.0,259.0
917002.0,916900.0,6.698143,6.702515,256.0,256.0
938830.0,938725.0,6.859913,6.859912,259.0,252.0
960185.0,960082.0,7.017311,7.01731,257.0,257.0
976226.0,976124.0,7.130987,7.13973,248.0,267.0
997919.0,997814.0,7.292757,7.297128,261.0,253.0
1019269.0,1019164.0,7.450154,7.445782,258.0,243.0
1041247.0,1041142.0,7.607552,7.607552,250.0,257.0
1057531.0,1057429.0,7.7256,7.7256,253.0,253.0
1078714.0,1078609.0,7.882998,7.878625,260.0,252.0
1100652.0,1100547.0,8.040396,8.036023,251.0,251.0
1116935.0,1116833.0,8.158443,8.154071,253.0,253.0
1138914.0,1138809.0,8.315841,8.315841,250.0,257.0
1160419.0,1160313.0,8.473238,8.473238,256.0,256.0
1176705.0,1176603.0,8.591286,8.595658,253.0,263.0
1198642.0,1198537.0,8.753056,8.753056,258.0,251.0
1220143.0,1220040.0,8.910453,8.910453,256.0,256.0
1236898.0,1236796.0,9.032873,9.032873,255.0,255.0
1258403.0,1258299.0,9.19027,9.19027,256.0,256.0
1279745.0,1279639.0,9.343296,9.343296,250.0,250.0
1296453.0,1296350.0,9.465716,9.465716,256.0,256.0
1317956.0,1317852.0,9.618742,9.627486,249.0,263.0
1339927.0,1339822.0,9.780512,9.784883,257.0,250.0
1356211.0,1356109.0,9.902932,9.902931,263.0,253.0
1377713.0,1377608.0,10.05596,10.06033,249.0,256.0
1399641.0,1399536.0,10.21773,10.21773,258.0,251.0
1421138.0,1421035.0,10.37512,10.37512,256.0,256.0
1437889.0,1437787.0,10.49755,10.49754,255.0,255.0
1459395.0,1459290.0,10.65494,10.65494,256.0,256.0
1480894.0,1480789.0,10.80797,10.81234,249.0,256.0
1497607.0,1497504.0,10.93039,10.93476,256.0,256.0
1519109.0,1519006.0,11.08779,11.08778,256.0,249.0
1541079.0,1540973.0,11.24518,11.24955,250.0,257.0
1557359.0,1557257.0,11.36323,11.37197,253.0,263.0
1578858.0,1578755.0,11.525,11.525,263.0,249.0
1600448.0,1600343.0,11.67803,11.6824,248.0,255.0
1616645.0,1616543.0,11.79607,11.80044,255.0,255.0
1638614.0,1638509.0,11.95784,11.96221,257.0,257.0
1660106.0,1660003.0,12.11524,12.11961,256.0,256.0
1676387.0,1676284.0,12.23329,12.23766,253.0,253.0
1698311.0,1698208.0,12.39069,12.39506,251.0,251.0
1719803.0,1719698.0,12.54808,12.55245,256.0,256.0
1736549.0,1736447.0,12.6705,12.67487,255.0,255.0
1757969.0,1757864.0,12.8279,12.83227,257.0,257.0
1779387.0,1779282.0,12.98093,12.9853,250.0,250.0
1801220.0,1801115.0,13.1427,13.14707,259.0,259.0
1817425.0,1817323.0,13.26512,13.26949,264.0,264.0
1839388.0,1839283.0,13.42251,13.42688,250.0,250.0
1860872.0,1860767.0,13.57991,13.58428,256.0,256.0
1877151.0,1877052.0,13.69796,13.70233,253.0,253.0
1899073.0,1898969.0,13.85536,13.85973,251.0,251.0
1920561.0,1920456.0,14.01275,14.01275,256.0,249.0
1937304.0,1937202.0,14.13517,14.13517,255.0,255.0
1958789.0,1958684.0,14.2882,14.2882,249.0,249.0
1980117.0,1980013.0,14.4456,14.4456,258.0,258.0
