lt,rt,lp,rp,lv,rv
1109.0,1068.0,-0.004372155,-0.008744308,0.0,0.0
17625.0,17509.0,0.06558232,0.06121017,148.0,149.0
40266.0,40117.0,0.3497724,0.3454002,439.0,440.0
56719.0,56572.0,0.5683801,0.5552636,465.0,446.0
78662.0,78512.0,0.5989852,0.5596358,48.0,6.0
100755.0,100609.0,0.3934939,0.3279116,-325.0,-367.0
117579.0,117430.0,0.1442811,0.05246586,-518.0,-573.0
140478.0,140362.0,-0.1442811,-0.253585,-440.0,-467.0
157404.0,157256.0,-0.1180482,-0.227352,54.0,54.0
179434.0,179317.0,0.1180482,0.02186078,374.0,395.0
196635.0,196486.0,0.4109826,0.310423,596.0,588.0
218665.0,218515.0,0.8656866,0.7563828,721.0,708.0
241253.0,241107.0,1.267925,1.17611,623.0,650.0
257626.0,257479.0,1.416578,1.337879,317.0,345.0
279562.0,279412.0,1.337879,1.263553,-125.0,-118.0
296618.0,296471.0,1.154249,1.062434,-377.0,-412.0
318731.0,318579.0,0.8001043,0.6864285,-560.0,-595.0
336009.0,335861.0,0.5290308,0.4109827,-549.0,-558.0
358295.0,358143.0,0.4853092,0.3760054,-68.0,-54.0
380383.0,380233.0,0.6951727,0.6077297,332.0,367.0
397444.0,397295.0,0.9706184,0.8875476,565.0,574.0
419563.0,419412.0,1.412206,1.329135,698.0,698.0
436479.0,436331.0,1.718257,1.639558,633.0,642.0
458413.0,458263.0,1.945609,1.86691,362.0,362.0
480257.0,480109.0,1.86691,1.775095,-126.0,-147.0
497227.0,497079.0,1.687652,1.569604,-369.0,-423.0
519332.0,519184.0,1.342252,1.193598,-546.0,-595.0
536423.0,536275.0,1.005596,0.9181526,-689.0,-564.0
558616.0,558464.0,0.7520107,0.8394538,-399.0,-124.0
580909.0,580760.0,0.8394538,1.044945,137.0,322.0
597874.0,597726.0,1.044945,1.307274,424.0,541.0
619796.0,619642.0,1.412206,1.718257,586.0,656.0
636707.0,636561.0,1.770723,2.024308,742.0,633.0
658646.0,658495.0,2.050541,2.159845,446.0,216.0
680567.0,680418.0,1.976214,2.002447,-118.0,-251.0
697614.0,697467.0,1.783839,1.770723,-395.0,-475.0
719716.0,719564.0,1.434067,1.377229,-553.0,-623.0
736802.0,736654.0,1.206715,1.132388,-465.0,-501.0
758897.0,758745.0,1.215459,1.13676,13.0,6.0
780445.0,780295.0,1.442811,1.364112,369.0,369.0
797316.0,797168.0,1.700768,1.635186,535.0,562.0
819242.0,819092.0,2.124867,2.063657,676.0,683.0
836155.0,836007.0,2.422174,2.369708,615.0,633.0
858074.0,857923.0,2.513989,2.448407,146.0,125.0
879994.0,879846.0,2.352219,2.25166,-258.0,-314.0
896958.0,896809.0,2.137984,2.002447,-442.0,-514.0
919043.0,918891.0,1.993703,1.823189,-228.0,-284.0
936129.0,935980.0,2.076774,1.901888,170.0,161.0
958045.0,957894.0,2.343475,2.181705,425.0,446.0
979957.0,979808.0,2.728225,2.570827,614.0,621.0
996825.0,996680.0,3.016787,2.855017,599.0,589.0
1018752.0,1018604.0,3.086741,2.929344,111.0,118.0
1041302.0,1041157.0,2.907483,2.741341,-278.0,-291.0
1058100.0,1057955.0,2.680131,2.500873,-473.0,-501.0
1080365.0,1080213.0,2.317242,2.334731,-570.0,-261.0
1097580.0,1097431.0,2.120495,2.426546,-400.0,186.0
1119764.0,1119614.0,2.190449,2.693247,110.0,420.0
1136828.0,1136678.0,2.369708,2.977437,367.0,582.0
1158905.0,1158751.0,2.701992,3.191673,526.0,339.0
1180972.0,1180823.0,3.086741,3.069253,610.0,-194.0
1198101.0,1197956.0,3.279116,2.850645,393.0,-446.0
1220270.0,1220122.0,3.257255,2.715108,-34.0,-213.0
1237418.0,1237273.0,3.117346,2.824412,-285.0,223.0
1259596.0,1259443.0,2.802551,3.117347,-496.0,462.0
1276292.0,1276142.0,2.645153,3.270372,-330.0,320.0
1298889.0,1298735.0,2.706363,3.196045,94.0,-115.0
1320944.0,1320794.0,2.951204,2.938088,388.0,-409.0
1338103.0,1337954.0,3.209161,2.798179,526.0,-285.0
1360263.0,1360115.0,3.589539,2.907483,600.0,172.0
1376857.0,1376714.0,3.79503,3.10423,433.0,414.0
1399182.0,1399031.0,3.768797,3.445258,-41.0,534.0
1421238.0,1421089.0,3.57205,3.633261,-312.0,298.0
1438319.0,1438167.0,3.357815,3.554562,-439.0,-161.0
1460570.0,1460418.0,3.222278,3.309721,-213.0,-385.0
1477352.0,1477204.0,3.314093,3.178557,191.0,-273.0
1499951.0,1499799.0,3.563306,3.296605,385.0,182.0
1516541.0,1516395.0,3.834379,3.506468,572.0,442.0
1539075.0,1538924.0,4.031126,3.873729,305.0,570.0
