lt,rt,lp,rp,lv,rv
1068.0,1053.0,0.4066104,0.3891218,0.0,0.0
16774.0,16699.0,0.4765649,0.4503319,156.0,137.0
38470.0,38401.0,0.734522,0.7126612,415.0,423.0
60511.0,60443.0,1.040573,1.018712,486.0,486.0
76669.0,76603.0,1.211087,1.19797,369.0,388.0
98572.0,98502.0,1.42095,1.407834,335.0,335.0
120006.0,119939.0,1.665791,1.64393,399.0,385.0
136253.0,136188.0,1.862538,1.845049,423.0,433.0
158375.0,158306.0,2.129239,2.107379,421.0,415.0
180070.0,180002.0,2.391569,2.369708,423.0,423.0
196869.0,196805.0,2.59706,2.579571,428.0,437.0
218476.0,218407.0,2.863761,2.850645,431.0,439.0
240171.0,240102.0,3.130463,3.117347,430.0,430.0
256922.0,256857.0,3.331582,3.318466,420.0,420.0
278610.0,278541.0,3.598284,3.580795,430.0,423.0
300771.0,300702.0,3.869357,3.851869,428.0,428.0
317103.0,317038.0,4.070476,4.048615,431.0,421.0
338787.0,338718.0,4.328433,4.310945,416.0,423.0
360903.0,360833.0,4.599507,4.582018,429.0,429.0
377233.0,377168.0,4.800626,4.783137,431.0,431.0
399386.0,399317.0,5.062955,5.054211,414.0,428.0
421074.0,421006.0,5.320912,5.31654,416.0,423.0
437311.0,437246.0,5.522031,5.508915,433.0,414.0
459421.0,459351.0,5.788732,5.775616,422.0,422.0
481108.0,481039.0,6.051061,6.042317,423.0,430.0
497896.0,497832.0,6.256552,6.247808,428.0,428.0
519579.0,519510.0,6.518881,6.505765,423.0,416.0
541265.0,541196.0,6.78121,6.768095,423.0,423.0
557930.0,557865.0,6.982329,6.969213,422.0,422.0
579609.0,579540.0,7.249031,7.231543,430.0,423.0
596402.0,596335.0,7.454522,7.432662,428.0,419.0
618081.0,618013.0,7.712479,7.699363,416.0,430.0
639766.0,639697.0,7.97918,7.966064,430.0,430.0
656434.0,656369.0,8.184671,8.167183,431.0,422.0
678110.0,678040.0,8.447001,8.429512,423.0,423.0
700255.0,700186.0,8.718074,8.700585,428.0,428.0
716576.0,716512.0,8.914821,8.901705,421.0,431.0
738252.0,738181.0,9.17715,9.164034,423.0,423.0
760270.0,760201.0,9.443851,9.430736,424.0,423.0
776589.0,776525.0,9.644971,9.627482,431.0,421.0
798732.0,798663.0,9.911673,9.898556,421.0,428.0
820411.0,820342.0,10.174,10.16088,423.0,423.0
836555.0,836489.0,10.37075,10.35326,426.0,417.0
858656.0,858586.0,10.63745,10.61996,422.0,422.0
880333.0,880264.0,10.89978,10.88666,423.0,430.0
897125.0,897060.0,11.10527,11.08778,428.0,419.0
918797.0,918727.0,11.3676,11.35448,423.0,430.0
940386.0,940316.0,11.62993,11.61681,425.0,425.0
957136.0,957071.0,11.83105,11.8223,420.0,429.0
978718.0,978649.0,12.09775,12.08026,432.0,418.0
1000862.0,1000793.0,12.36445,12.34696,421.0,421.0
1017343.0,1017278.0,12.5612,12.54808,417.0,427.0
1039103.0,1039033.0,12.83227,12.81479,435.0,428.0
1061362.0,1061293.0,13.10334,13.08149,426.0,419.0
1077840.0,1077776.0,13.30009,13.27823,417.0,417.0
1100137.0,1100068.0,13.57117,13.54931,425.0,425.0
1116618.0,1116551.0,13.77228,13.75043,427.0,427.0
1138445.0,1138375.0,14.03461,14.01276,420.0,420.0
1160699.0,1160631.0,14.30132,14.28383,419.0,426.0
1177181.0,1177116.0,14.50243,14.48495,427.0,427.0
1199476.0,1199406.0,14.77351,14.75602,425.0,425.0
1221303.0,1221234.0,15.04021,15.02272,427.0,427.0
1260027.0,1259959.0,15.5124,15.49492,426.0,433.0
1276433.0,1276366.0,15.70915,15.69604,419.0,429.0
1298726.0,1298657.0,15.98022,15.96711,425.0,425.0
1320552.0,1320483.0,16.24692,16.22944,427.0,420.0
1337023.0,1336960.0,16.44367,16.42619,418.0,417.0
1359272.0,1359202.0,16.71474,16.69289,426.0,419.0
1381096.0,1381027.0,16.97707,16.96396,420.0,434.0
1398037.0,1397973.0,17.18694,17.16945,433.0,424.0
1419857.0,1419788.0,17.44927,17.43615,420.0,427.0
1436331.0,1436265.0,17.64601,17.6329,418.0,418.0
1458489.0,1458419.0,17.91709,17.90397,428.0,428.0
1480310.0,1480242.0,18.18379,18.17068,427.0,427.0
1497253.0,1497188.0,18.38491,18.37617,415.0,424.0
1519066.0,1518997.0,18.65598,18.6385,434.0,420.0
1540801.0,1540732.0,18.91831,18.90083,422.0,422.0
