lt,rt,lp,rp,lv,rv
1013.0,981.0,-0.0,-0.0,0.0,0.0
20907.0,20777.0,0.01311646,0.00874431,23.0,15.0
37462.0,37301.0,0.03060508,0.02623293,36.0,37.0
58790.0,58624.0,0.05246586,0.04809371,35.0,35.0
80119.0,79950.0,0.07869878,0.06558232,43.0,28.0
96582.0,96418.0,0.09181524,0.06995448,27.0,9.0
117816.0,117648.0,0.1093039,0.09181524,28.0,36.0
139688.0,139520.0,0.1355368,0.1180482,41.0,41.0
160986.0,160818.0,0.1573976,0.139909,35.0,35.0
176917.0,176755.0,0.1748862,0.1530254,38.0,28.0
198655.0,198485.0,0.2011191,0.1748862,42.0,35.0
219950.0,219782.0,0.2229799,0.2011191,35.0,43.0
236429.0,236266.0,0.2404685,0.2142356,37.0,27.0
257730.0,257562.0,0.2710736,0.2404685,50.0,43.0
279026.0,278858.0,0.2929344,0.2623293,35.0,35.0
300750.0,300582.0,0.3191673,0.2841901,42.0,35.0
316762.0,316601.0,0.3366559,0.3060508,38.0,47.0
338536.0,338367.0,0.3628888,0.3279116,42.0,35.0
359828.0,359661.0,0.3847496,0.3454002,35.0,28.0
375840.0,375677.0,0.4022383,0.3628889,38.0,38.0
397569.0,397400.0,0.4284712,0.3803775,42.0,28.0
418859.0,418691.0,0.450332,0.4066104,35.0,43.0
440534.0,440366.0,0.4721927,0.4328434,35.0,42.0
456540.0,456379.0,0.4940535,0.4459598,47.0,28.0
477839.0,477670.0,0.5159142,0.4678206,35.0,35.0
499559.0,499391.0,0.537775,0.4896813,35.0,35.0
520760.0,520591.0,0.564008,0.5159143,43.0,43.0
537153.0,536992.0,0.5858688,0.5334029,46.0,37.0
558451.0,558283.0,0.6077295,0.5552637,35.0,35.0
579742.0,579574.0,0.6295903,0.5771245,35.0,35.0
596181.0,596017.0,0.6470789,0.590241,37.0,27.0
617388.0,617219.0,0.6733118,0.6164739,43.0,43.0
639144.0,638976.0,0.6951726,0.6427069,35.0,42.0
660429.0,660261.0,0.7214055,0.6601954,43.0,28.0
676434.0,676274.0,0.7388941,0.6776841,38.0,38.0
698160.0,697990.0,0.7607549,0.6995449,35.0,35.0
719447.0,719279.0,0.7869878,0.7257777,43.0,43.0
735924.0,735761.0,0.8044764,0.7388942,37.0,27.0
757212.0,757043.0,0.8263371,0.7651272,35.0,43.0
778497.0,778328.0,0.8525701,0.786988,43.0,35.0
800122.0,799953.0,0.8788031,0.8088488,42.0,35.0
816128.0,815967.0,0.8962916,0.8263373,38.0,38.0
837887.0,837718.0,0.9181524,0.8481981,35.0,35.0
859167.0,858999.0,0.9443853,0.8700589,43.0,35.0
880447.0,880278.0,0.966246,0.8919197,35.0,35.0
896793.0,896631.0,0.9837347,0.9094083,37.0,37.0
918079.0,917911.0,1.009968,0.9312691,43.0,35.0
939742.0,939574.0,1.031828,0.9487576,35.0,28.0
960929.0,960761.0,1.053689,0.9749907,36.0,43.0
976845.0,976685.0,1.071178,0.9924792,38.0,38.0
998473.0,998304.0,1.093038,1.009968,35.0,28.0
1019572.0,1019403.0,1.114899,1.031829,36.0,36.0
1036025.0,1035862.0,1.132388,1.049317,37.0,37.0
1057289.0,1057121.0,1.158621,1.071178,43.0,35.0
1078550.0,1078382.0,1.180481,1.093039,35.0,35.0
1100235.0,1100066.0,1.206714,1.114899,42.0,35.0
1116218.0,1116056.0,1.224203,1.132388,38.0,38.0
1137954.0,1137785.0,1.246064,1.149876,35.0,28.0
1159211.0,1159042.0,1.267924,1.171737,35.0,35.0
1180466.0,1180297.0,1.294157,1.193598,43.0,35.0
1196882.0,1196722.0,1.311646,1.211087,37.0,37.0
1218144.0,1217975.0,1.337879,1.232947,43.0,36.0
1239870.0,1239702.0,1.35974,1.254808,35.0,35.0
1261050.0,1260886.0,1.3816,1.276669,36.0,36.0
1276876.0,1276715.0,1.399089,1.294157,38.0,38.0
1298567.0,1298398.0,1.42095,1.316018,35.0,35.0
1319744.0,1319576.0,1.44281,1.333507,36.0,28.0
1336119.0,1335955.0,1.464671,1.350995,46.0,37.0
1357373.0,1357204.0,1.486532,1.372856,35.0,36.0
1378628.0,1378460.0,1.508392,1.390345,36.0,28.0
1400303.0,1400134.0,1.530253,1.416577,35.0,42.0
1416280.0,1416118.0,1.547742,1.434066,38.0,38.0
1438006.0,1437838.0,1.573975,1.451555,42.0,28.0
1459256.0,1459087.0,1.600208,1.473415,43.0,36.0
1480502.0,1480333.0,1.617696,1.495276,28.0,36.0
1496912.0,1496751.0,1.635185,1.512765,37.0,37.0
1518166.0,1517997.0,1.661418,1.530253,43.0,28.0
1539880.0,1539713.0,1.687651,1.556486,42.0,42.0
1555860.0,1555698.0,1.700767,1.573975,28.0,38.0
1577113.0,1576944.0,1.722628,1.591463,36.0,28.0
1598781.0,1598613.0,1.748861,1.613324,42.0,35.0
1620021.0,1619854.0,1.775094,1.635185,43.0,36.0
1636472.0,1636310.0,1.792583,1.652673,37.0,37.0
1657720.0,1657551.0,1.810071,1.674534,28.0,36.0
1678961.0,1678793.0,1.836304,1.696395,43.0,36.0
1700628.0,1700460.0,1.862537,1.718256,42.0,35.0
1716604.0,1716443.0,1.880026,1.731372,38.0,28.0
1738320.0,1738151.0,1.901886,1.753233,35.0,35.0
1759560.0,1759391.0,1.923747,1.779466,36.0,43.0
1780796.0,1780627.0,1.94998,1.796954,43.0,28.0
1797133.0,1796972.0,1.967469,1.810071,37.0,28.0
1818378.0,1818209.0,1.989329,1.831932,36.0,36.0
1840086.0,1839918.0,2.01119,1.853792,35.0,35.0
1855980.0,1855817.0,2.028679,1.871281,38.0,38.0
1877225.0,1877057.0,2.054912,1.88877,43.0,28.0
1898800.0,1898632.0,2.076773,1.91063,35.0,35.0
1919943.0,1919774.0,2.098634,1.928119,36.0,28.0
1936385.0,1936224.0,2.116122,1.941235,37.0,27.0
1957620.0,1957451.0,2.137983,1.963096,36.0,36.0
1978852.0,1978683.0,2.159844,1.984957,36.0,36.0
