lt,rt,lp,rp,lv,rv
997.0,977.0,-0.0,-0.0,0.0,0.0
15506.0,15408.0,0.03934939,0.03934939,95.0,95.0
36884.0,36744.0,0.1180482,0.1093039,128.0,114.0
58623.0,58467.0,0.08307094,0.0874431,-56.0,-35.0
80012.0,79871.0,0.113676,0.139909,50.0,85.0
96125.0,95973.0,0.227352,0.2317242,246.0,199.0
117340.0,117181.0,0.2448407,0.2054913,28.0,-43.0
138696.0,138552.0,0.227352,0.2098634,-28.0,7.0
160307.0,160147.0,0.3716332,0.3847496,233.0,283.0
176482.0,176349.0,0.4590763,0.4547041,189.0,151.0
198442.0,198284.0,0.3672611,0.3847496,-146.0,-111.0
220086.0,219941.0,0.336656,0.4022383,-49.0,28.0
236080.0,235926.0,0.4459599,0.50717,239.0,229.0
257810.0,257667.0,0.5115421,0.5421472,105.0,56.0
279181.0,279023.0,0.4415876,0.5115421,-114.0,-50.0
295915.0,295782.0,0.4590763,0.5771245,36.0,137.0
317291.0,317150.0,0.590241,0.6383347,214.0,100.0
338692.0,338535.0,0.6033574,0.6033574,21.0,-57.0
360463.0,360322.0,0.5858688,0.677684,-28.0,119.0
376557.0,376425.0,0.6908006,0.760755,228.0,180.0
398433.0,398276.0,0.7388942,0.7039169,77.0,-90.0
419782.0,419637.0,0.6908006,0.7082891,-78.0,7.0
435792.0,435631.0,0.7432664,0.8263372,114.0,258.0
457684.0,457542.0,0.8263373,0.8525702,132.0,41.0
479051.0,478894.0,0.7826158,0.8219651,-71.0,-50.0
495685.0,495552.0,0.7782436,0.9006639,-9.0,165.0
517060.0,516919.0,0.9312691,0.9531297,250.0,85.0
538450.0,538293.0,0.9924792,0.9006639,100.0,-85.0
560317.0,560176.0,0.9312691,0.9881069,-97.0,139.0
576508.0,576377.0,0.9662463,1.066806,75.0,170.0
598282.0,598128.0,1.07555,0.9924791,175.0,-119.0
619649.0,619490.0,1.053689,0.9749905,-35.0,-28.0
635714.0,635561.0,1.040573,1.084294,-28.0,238.0
657395.0,657253.0,1.184854,1.132388,232.0,77.0
678599.0,678441.0,1.23732,1.088666,86.0,-72.0
700142.0,700001.0,1.167365,1.180482,-113.0,149.0
716255.0,716117.0,1.206715,1.25918,85.0,170.0
737375.0,737218.0,1.29853,1.176109,152.0,-137.0
759068.0,758922.0,1.267925,1.167365,-49.0,-14.0
780336.0,780176.0,1.285414,1.333507,28.0,273.0
796693.0,796561.0,1.403462,1.403461,252.0,149.0
817996.0,817839.0,1.429695,1.324763,43.0,-129.0
839254.0,839109.0,1.39909,1.333507,-50.0,14.0
855511.0,855350.0,1.473416,1.451555,160.0,254.0
876787.0,876645.0,1.543371,1.495277,115.0,71.0
898439.0,898281.0,1.486533,1.451555,-91.0,-70.0
919693.0,919553.0,1.517138,1.538998,50.0,143.0
935601.0,935470.0,1.617697,1.608953,221.0,153.0
957264.0,957057.0,1.617697,1.543371,0.0,-106.0
978361.0,978155.0,1.604581,1.543371,-21.0,0.0
999763.0,999603.0,1.761979,1.700768,257.0,257.0
1015746.0,1015612.0,1.849422,1.775095,191.0,162.0
1037193.0,1037036.0,1.783839,1.713885,-107.0,-99.0
1059147.0,1059002.0,1.775095,1.718257,-13.0,6.0
1080377.0,1080218.0,1.932493,1.871282,259.0,252.0
1097008.0,1096869.0,2.015564,1.945609,175.0,156.0
1118445.0,1118288.0,1.941237,1.888771,-121.0,-92.0
1139956.0,1139747.0,1.923748,1.888771,-28.0,0.0
1156207.0,1156055.0,2.033052,1.993703,235.0,225.0
1177639.0,1177497.0,2.098635,2.041796,107.0,78.0
1199444.0,1199285.0,2.041797,2.002447,-91.0,-63.0
1215580.0,1215447.0,2.059285,2.046168,37.0,94.0
1236824.0,1236683.0,2.186078,2.133611,208.0,144.0
1258690.0,1258533.0,2.199194,2.098634,21.0,-55.0
1279993.0,1279850.0,2.181705,2.129239,-28.0,50.0
1296507.0,1296354.0,2.282265,2.234171,213.0,222.0
1317937.0,1317794.0,2.339103,2.242915,92.0,14.0
1339168.0,1339022.0,2.286637,2.247287,-86.0,7.0
1355573.0,1355420.0,2.325986,2.347847,84.0,214.0
1376905.0,1376761.0,2.426546,2.378452,165.0,50.0
1398704.0,1398545.0,2.387197,2.343475,-63.0,-56.0
1420087.0,1419927.0,2.37408,2.457151,-21.0,186.0
1436140.0,1436008.0,2.487756,2.513989,247.0,123.0
1458014.0,1457856.0,2.540222,2.448406,84.0,-104.0
1479408.0,1479264.0,2.483384,2.4965,-92.0,78.0
1495767.0,1495606.0,2.527106,2.592688,93.0,205.0
1517087.0,1516932.0,2.627665,2.562083,165.0,-50.0
1538485.0,1538340.0,2.592688,2.553338,-57.0,-14.0
1560323.0,1560163.0,2.601432,2.715108,14.0,259.0
1576360.0,1576228.0,2.706364,2.789434,228.0,162.0
1598271.0,1598114.0,2.736969,2.715108,48.0,-118.0
1619665.0,1619457.0,2.701992,2.715108,-57.0,0.0
1635498.0,1635339.0,2.771946,2.833156,154.0,260.0
1657338.0,1657195.0,2.8419,2.876878,112.0,70.0
1678497.0,1678340.0,2.789434,2.837528,-86.0,-65.0
1700358.0,1700218.0,2.828784,2.933716,63.0,153.0
1716415.0,1716284.0,2.924971,2.994926,209.0,133.0
1737856.0,1737698.0,2.916227,2.938088,-14.0,-92.0
1759677.0,1759532.0,2.911855,2.951204,-7.0,21.0
1775623.0,1775471.0,3.025531,3.060508,249.0,239.0
1797504.0,1797362.0,3.091113,3.091113,104.0,48.0
1818818.0,1818659.0,3.021159,3.069252,-114.0,-35.0
1840314.0,1840154.0,3.06488,3.1873,71.0,192.0
1856529.0,1856397.0,3.16544,3.248511,216.0,132.0
1877879.0,1877722.0,3.143579,3.174184,-35.0,-121.0
