lt,rt,lp,rp,lv,rv
457.0,447.0,10.0,9.0,0.0,0.0
20222.0,20021.0,14.0,14.0,202.0,255.0
41038.0,40836.0,23.0,25.0,432.0,528.0
61399.0,61200.0,33.0,37.0,491.0,589.0
81777.0,81575.0,44.0,51.0,539.0,687.0
102551.0,102350.0,59.0,70.0,722.0,914.0
123105.0,122902.0,77.0,90.0,875.0,973.0
139649.0,139449.0,92.0,108.0,906.0,1087.0
160376.0,160173.0,110.0,130.0,868.0,1061.0
181181.0,180981.0,130.0,152.0,961.0,1057.0
202408.0,202204.0,150.0,176.0,942.0,1130.0
223212.0,223012.0,170.0,200.0,961.0,1153.0
240036.0,239834.0,187.0,219.0,1010.0,1129.0
260924.0,260725.0,207.0,243.0,957.0,1148.0
281742.0,281539.0,228.0,267.0,1008.0,1153.0
303042.0,302843.0,249.0,292.0,985.0,1173.0
319427.0,319224.0,266.0,311.0,1037.0,1159.0
340755.0,340556.0,287.0,336.0,984.0,1172.0
361570.0,361367.0,308.0,361.0,1008.0,1201.0
382460.0,382259.0,329.0,386.0,1005.0,1196.0
399340.0,399136.0,346.0,406.0,1006.0,1184.0
420230.0,420030.0,366.0,431.0,957.0,1196.0
441488.0,441285.0,387.0,457.0,987.0,1223.0
462293.0,462092.0,408.0,481.0,1009.0,1153.0
483198.0,482994.0,429.0,506.0,1004.0,1196.0
500062.0,499863.0,445.0,526.0,948.0,1185.0
520882.0,520679.0,467.0,551.0,1056.0,1201.0
542214.0,542013.0,488.0,577.0,984.0,1218.0
563029.0,562826.0,509.0,602.0,1008.0,1201.0
579483.0,579283.0,525.0,621.0,972.0,1154.0
600740.0,600537.0,546.0,647.0,988.0,1223.0
621541.0,621340.0,567.0,672.0,1009.0,1201.0
642887.0,642685.0,588.0,698.0,983.0,1218.0
659256.0,659056.0,604.0,718.0,977.0,1221.0
680072.0,679869.0,625.0,743.0,1009.0,1201.0
701402.0,701202.0,646.0,770.0,984.0,1265.0
722221.0,722017.0,667.0,795.0,1008.0,1200.0
739118.0,738920.0,683.0,816.0,946.0,1242.0
759938.0,759736.0,704.0,842.0,1008.0,1249.0
780828.0,780629.0,725.0,867.0,1005.0,1196.0
802148.0,801944.0,746.0,893.0,985.0,1219.0
822950.0,822752.0,767.0,919.0,1009.0,1249.0
839864.0,839661.0,783.0,939.0,945.0,1182.0
860667.0,860466.0,804.0,965.0,1009.0,1249.0
881572.0,881368.0,825.0,990.0,1004.0,1196.0
902872.0,902673.0,847.0,1015.0,1032.0,1173.0
919435.0,919231.0,863.0,1035.0,965.0,1207.0
940762.0,940564.0,884.0,1061.0,984.0,1218.0
961666.0,961462.0,905.0,1085.0,1004.0,1148.0
982640.0,982440.0,926.0,1110.0,1001.0,1191.0
999611.0,999407.0,943.0,1130.0,1001.0,1178.0
1020586.0,1020385.0,964.0,1155.0,1001.0,1191.0
1042197.0,1041992.0,985.0,1181.0,971.0,1203.0
1063259.0,1063058.0,1006.0,1207.0,996.0,1234.0
1079988.0,1079785.0,1023.0,1227.0,1015.0,1195.0
1101670.0,1101470.0,1044.0,1253.0,968.0,1198.0
1122835.0,1122632.0,1065.0,1279.0,992.0,1228.0
1139992.0,1139792.0,1082.0,1299.0,990.0,1165.0
1161159.0,1160956.0,1103.0,1325.0,992.0,1228.0
1182308.0,1182107.0,1124.0,1351.0,993.0,1229.0
1199451.0,1199249.0,1142.0,1371.0,1049.0,1166.0
1220693.0,1220492.0,1163.0,1397.0,988.0,1223.0
1242299.0,1242095.0,1184.0,1423.0,972.0,1203.0
1263450.0,1263250.0,1205.0,1449.0,992.0,1229.0
1280183.0,1279979.0,1222.0,1470.0,1015.0,1255.0
1301858.0,1301659.0,1244.0,1495.0,1015.0,1153.0
1323116.0,1322914.0,1266.0,1521.0,1034.0,1223.0
1340361.0,1340160.0,1284.0,1542.0,1043.0,1217.0
1361617.0,1361415.0,1305.0,1567.0,987.0,1176.0
1382768.0,1382569.0,1326.0,1593.0,992.0,1229.0
1399911.0,1399708.0,1343.0,1613.0,991.0,1166.0
1421061.0,1420862.0,1364.0,1639.0,993.0,1229.0
1442668.0,1442464.0,1386.0,1666.0,1018.0,1249.0
1459472.0,1459272.0,1403.0,1686.0,1011.0,1189.0
1480727.0,1480523.0,1423.0,1712.0,941.0,1223.0
1502290.0,1502089.0,1445.0,1738.0,1020.0,1205.0
1523544.0,1523341.0,1466.0,1763.0,987.0,1176.0
1540701.0,1540500.0,1483.0,1783.0,990.0,1165.0
1561865.0,1561662.0,1505.0,1808.0,1039.0,1181.0
1583103.0,1582903.0,1527.0,1834.0,1035.0,1223.0
1600331.0,1600127.0,1545.0,1855.0,1044.0,1219.0
1621568.0,1621367.0,1566.0,1881.0,988.0,1224.0
1643175.0,1642971.0,1587.0,1907.0,971.0,1203.0
1659889.0,1659690.0,1604.0,1927.0,1016.0,1196.0
1681143.0,1680939.0,1626.0,1953.0,1035.0,1223.0
1702789.0,1702590.0,1648.0,1980.0,1016.0,1247.0
