lt,rt,lp,rp,lv,rv
1150.0,1129.0,0.7869879,0.6645676,0.0,0.0
16936.0,16836.0,0.8394538,0.7214056,116.0,127.0
38986.0,38879.0,1.053689,0.9400133,340.0,347.0
60461.0,60358.0,1.35974,1.254808,498.0,512.0
76565.0,76466.0,1.630814,1.543371,588.0,626.0
98396.0,98290.0,2.037424,1.958725,651.0,666.0
119791.0,119687.0,2.465895,2.391569,701.0,708.0
136618.0,136519.0,2.811296,2.741341,718.0,727.0
158190.0,158083.0,3.270372,3.191673,744.0,730.0
179767.0,179675.0,3.729448,3.650749,745.0,744.0
196579.0,196493.0,4.087965,4.01801,746.0,764.0
218091.0,217997.0,4.547041,4.477087,746.0,747.0
240158.0,240066.0,5.014862,4.931791,742.0,721.0
256542.0,256457.0,5.35589,5.259703,728.0,700.0
278054.0,277960.0,5.80185,5.683802,725.0,690.0
299984.0,299892.0,6.239066,6.112273,697.0,683.0
316370.0,316282.0,6.558233,6.427068,681.0,672.0
338437.0,338345.0,6.973588,6.846795,658.0,665.0
360042.0,359950.0,7.375826,7.249033,651.0,651.0
376431.0,376345.0,7.673132,7.54634,634.0,634.0
398371.0,398276.0,8.057882,7.935461,613.0,620.0
419962.0,419870.0,8.429516,8.311466,602.0,609.0
436815.0,436727.0,8.718078,8.591284,599.0,580.0
458414.0,458321.0,9.076594,8.954173,580.0,588.0
480015.0,479923.0,9.435111,9.317062,581.0,588.0
496827.0,496740.0,9.710557,9.59688,573.0,582.0
518343.0,518248.0,10.06907,9.951024,583.0,576.0
540403.0,540311.0,10.44071,10.32266,589.0,589.0
556796.0,556709.0,10.70741,10.5981,569.0,587.0
578309.0,578216.0,11.06593,10.95662,583.0,583.0
600338.0,600245.0,11.43756,11.32825,590.0,590.0
616727.0,616639.0,11.71738,11.6037,597.0,588.0
638711.0,638617.0,12.09338,11.97533,598.0,591.0
660303.0,660211.0,12.46939,12.34259,609.0,595.0
676694.0,676607.0,12.75358,12.62241,606.0,597.0
698720.0,698626.0,13.12958,12.99405,597.0,590.0
720321.0,720231.0,13.49684,13.35693,595.0,587.0
737181.0,737094.0,13.78103,13.64112,589.0,589.0
758781.0,758686.0,14.14829,14.00401,595.0,588.0
780371.0,780279.0,14.51556,14.3669,595.0,588.0
797101.0,797013.0,14.79975,14.65109,594.0,594.0
818703.0,818609.0,15.16701,15.01835,595.0,595.0
840771.0,840680.0,15.54301,15.38999,596.0,589.0
857164.0,857077.0,15.82283,15.66981,597.0,597.0
878769.0,878675.0,16.18572,16.03269,587.0,588.0
900787.0,900696.0,16.55298,16.4087,583.0,597.0
917091.0,917003.0,16.82843,16.68414,591.0,591.0
939159.0,939065.0,17.20443,17.06015,596.0,596.0
960757.0,960665.0,17.57169,17.42741,595.0,595.0
977145.0,977058.0,17.85151,17.70286,597.0,588.0
999173.0,999079.0,18.22752,18.07449,597.0,590.0
1020766.0,1020674.0,18.59478,18.44175,595.0,595.0
1037785.0,1037698.0,18.88334,18.73469,593.0,602.0
1059546.0,1059454.0,19.25497,19.10195,597.0,590.0
1076100.0,1076013.0,19.53916,19.38177,600.0,591.0
1098294.0,1098201.0,19.91954,19.75777,599.0,593.0
1120057.0,1119965.0,20.2868,20.12941,590.0,597.0
1136996.0,1136909.0,20.57099,20.41797,587.0,596.0
1158756.0,1158662.0,20.93825,20.78523,590.0,590.0
1180505.0,1180415.0,21.30989,21.15249,598.0,590.0
1197478.0,1197392.0,21.59845,21.44106,594.0,594.0
1219240.0,1219146.0,21.97445,21.80832,604.0,590.0
1236258.0,1236171.0,22.26302,22.09251,593.0,584.0
1258024.0,1257930.0,22.63028,22.46414,590.0,597.0
1279785.0,1279693.0,22.99754,22.83577,590.0,597.0
1296760.0,1296673.0,23.2861,23.12434,594.0,594.0
1318445.0,1318353.0,23.65337,23.49597,592.0,599.0
1340670.0,1340578.0,24.02937,23.88072,592.0,605.0
1357216.0,1357129.0,24.30919,24.16491,591.0,600.0
1378975.0,1378881.0,24.68082,24.53217,597.0,590.0
1395951.0,1395863.0,24.97376,24.81636,603.0,585.0
1417716.0,1417622.0,25.34539,25.18362,597.0,590.0
1439940.0,1439848.0,25.7214,25.55963,592.0,592.0
1456416.0,1456330.0,26.00121,25.83945,594.0,594.0
1478177.0,1478082.0,26.37722,26.20671,604.0,590.0
1500357.0,1500265.0,26.7576,26.58708,600.0,600.0
1516832.0,1516746.0,27.03741,26.8669,594.0,594.0
1538974.0,1538880.0,27.40905,27.24291,587.0,594.0
1560735.0,1560643.0,27.78068,27.61454,597.0,597.0
1577282.0,1577194.0,28.0605,27.89873,591.0,600.0
1599399.0,1599306.0,28.4365,28.27036,595.0,588.0
1621080.0,1620989.0,28.79939,28.63325,585.0,585.0
1638097.0,1638009.0,29.08358,28.92181,584.0,593.0
1659858.0,1659763.0,29.45084,29.28908,590.0,590.0
