lt,rt,lp,rp,lv,rv
1282.0,1265.0,0.9443854,0.8875474,0.0,0.0
23152.0,23072.0,1.044945,0.9837349,161.0,154.0
40477.0,40393.0,1.224203,1.167365,362.0,370.0
62754.0,62675.0,1.530254,1.486533,480.0,501.0
79523.0,79438.0,1.796956,1.770723,556.0,593.0
102232.0,102153.0,2.203566,2.194822,626.0,653.0
119181.0,119095.0,2.531478,2.527106,677.0,686.0
142104.0,142024.0,2.986182,2.994926,694.0,714.0
159053.0,158967.0,3.331582,3.349071,713.0,731.0
181507.0,181429.0,3.803775,3.830008,735.0,749.0
198883.0,198797.0,4.184152,4.201641,766.0,748.0
221338.0,221260.0,4.68695,4.682578,783.0,749.0
238668.0,238583.0,5.080444,5.058583,794.0,759.0
261124.0,261045.0,5.60073,5.561381,810.0,783.0
283485.0,283407.0,6.134133,6.064178,834.0,787.0
300856.0,300770.0,6.55386,6.462045,845.0,801.0
323219.0,323139.0,7.100379,6.977959,855.0,807.0
340633.0,340549.0,7.528851,7.38457,861.0,817.0
363002.0,362922.0,8.084114,7.904856,868.0,814.0
379951.0,379866.0,8.503841,8.29835,866.0,812.0
402746.0,402667.0,9.072222,8.836125,872.0,825.0
419693.0,419608.0,9.500693,9.233992,885.0,821.0
442615.0,442537.0,10.07782,9.771767,881.0,821.0
459579.0,459494.0,10.50629,10.16963,884.0,820.0
482051.0,481971.0,11.07467,10.69866,885.0,823.0
499442.0,499357.0,11.51626,11.10965,888.0,827.0
521913.0,521834.0,12.07589,11.63868,871.0,824.0
539345.0,539261.0,12.50436,12.05403,860.0,833.0
561815.0,561737.0,13.04214,12.58743,837.0,830.0
578777.0,578692.0,13.44438,12.9853,830.0,821.0
601585.0,601509.0,13.97341,13.52308,811.0,825.0
618550.0,618479.0,14.3669,13.92969,811.0,838.0
641418.0,641353.0,14.88719,14.47183,796.0,829.0
658399.0,658328.0,15.26757,14.87407,783.0,829.0
680887.0,680821.0,15.76599,15.41185,775.0,837.0
703798.0,703731.0,16.27753,15.94962,781.0,821.0
720774.0,720702.0,16.65791,16.33874,784.0,802.0
743723.0,743657.0,17.16508,16.8634,773.0,800.0
