lt,rt,lp,rp,lv,rv
1162.0,1144.0,0.9487576,0.8394536,0.0,0.0
17067.0,16970.0,0.9706183,0.8569423,48.0,38.0
39108.0,39003.0,1.040573,0.9181524,111.0,97.0
60682.0,60578.0,1.088666,0.9618739,78.0,70.0
82148.0,82043.0,1.119272,0.9881068,49.0,42.0
98757.0,98660.0,1.158621,1.023084,82.0,73.0
120135.0,120031.0,1.224203,1.084294,107.0,100.0
137069.0,136972.0,1.267925,1.123644,90.0,81.0
158635.0,158530.0,1.316018,1.171737,78.0,78.0
180192.0,180089.0,1.368484,1.224203,85.0,85.0
202178.0,202073.0,1.429694,1.267925,97.0,69.0
218441.0,218345.0,1.469044,1.307274,84.0,84.0
240467.0,240365.0,1.52151,1.355368,83.0,76.0
261939.0,261834.0,1.578348,1.403461,92.0,78.0
278205.0,278108.0,1.617697,1.442811,84.0,84.0
300183.0,300079.0,1.674535,1.490905,90.0,76.0
321741.0,321637.0,1.727001,1.538998,85.0,78.0
338475.0,338381.0,1.76635,1.578348,82.0,82.0
359943.0,359838.0,1.818816,1.626441,85.0,78.0
381494.0,381391.0,1.86691,1.670163,78.0,70.0
398102.0,398005.0,1.906259,1.709512,82.0,82.0
419650.0,419546.0,1.958725,1.757606,85.0,78.0
441670.0,441565.0,2.015563,1.8057,90.0,76.0
457759.0,457662.0,2.054913,1.845049,85.0,85.0
479306.0,479201.0,2.107378,1.893143,85.0,78.0
501283.0,501180.0,2.159844,1.941236,83.0,76.0
517549.0,517453.0,2.199194,1.980586,84.0,84.0
539562.0,539459.0,2.256032,2.02868,90.0,76.0
561023.0,560918.0,2.308498,2.076773,85.0,78.0
577287.0,577190.0,2.347847,2.116123,84.0,84.0
599256.0,599151.0,2.400313,2.164217,83.0,76.0
620798.0,620693.0,2.452779,2.21231,85.0,78.0
637439.0,637343.0,2.492128,2.25166,82.0,82.0
658892.0,658788.0,2.548966,2.304126,92.0,85.0
680435.0,680333.0,2.601432,2.347847,85.0,71.0
697123.0,697026.0,2.640781,2.382824,82.0,73.0
718663.0,718559.0,2.693247,2.439662,85.0,92.0
740671.0,740567.0,2.750085,2.487756,90.0,76.0
762209.0,762104.0,2.802551,2.53585,85.0,78.0
778384.0,778288.0,2.841901,2.575199,85.0,85.0
800356.0,800253.0,2.894366,2.623293,83.0,76.0
821898.0,821794.0,2.946832,2.675759,85.0,85.0
838628.0,838531.0,2.990554,2.710736,91.0,73.0
860160.0,860055.0,3.038648,2.763202,78.0,85.0
881700.0,881597.0,3.095486,2.815668,92.0,85.0
898387.0,898291.0,3.134835,2.850645,82.0,73.0
919919.0,919814.0,3.187301,2.898739,85.0,78.0
941926.0,941822.0,3.244139,2.955577,90.0,90.0
958184.0,958088.0,3.28786,2.990554,94.0,75.0
979632.0,979527.0,3.340326,3.038648,85.0,78.0
1001594.0,1001490.0,3.392792,3.091114,83.0,83.0
1018014.0,1017917.0,3.432142,3.130463,83.0,83.0
1040174.0,1040069.0,3.484607,3.178557,82.0,75.0
1061871.0,1061767.0,3.541445,3.226651,91.0,77.0
1078291.0,1078194.0,3.580795,3.266,83.0,83.0
1100148.0,1100043.0,3.633261,3.314094,84.0,77.0
1121842.0,1121738.0,3.690099,3.362188,91.0,77.0
1138731.0,1138635.0,3.729448,3.405909,81.0,90.0
1160419.0,1160316.0,3.781914,3.44963,84.0,70.0
1182025.0,1181921.0,3.838752,3.497724,92.0,77.0
1198873.0,1198776.0,3.878101,3.537074,81.0,81.0
1220558.0,1220455.0,3.934939,3.585167,91.0,77.0
1237445.0,1237350.0,3.974289,3.620145,81.0,72.0
1259135.0,1259031.0,4.026754,3.672611,84.0,84.0
1280824.0,1280720.0,4.083592,3.720704,91.0,77.0
1297667.0,1297569.0,4.122942,3.760054,81.0,81.0
1319350.0,1319247.0,4.17978,3.81252,91.0,84.0
1341343.0,1341239.0,4.236618,3.860613,90.0,76.0
1357756.0,1357660.0,4.275968,3.895591,83.0,74.0
1379442.0,1379338.0,4.328434,3.948056,84.0,84.0
1401556.0,1401453.0,4.385272,4.000522,89.0,83.0
1417969.0,1417872.0,4.424621,4.039872,83.0,83.0
1440116.0,1440012.0,4.477087,4.092338,82.0,82.0
1461801.0,1461696.0,4.533925,4.140431,91.0,77.0
1478212.0,1478115.0,4.577647,4.179781,93.0,83.0
1500319.0,1500215.0,4.630113,4.232247,83.0,83.0
1522002.0,1521898.0,4.682579,4.284713,84.0,84.0
1538887.0,1538790.0,4.7263,4.31969,90.0,72.0
1560313.0,1560209.0,4.774394,4.372156,78.0,85.0
1581995.0,1581891.0,4.831232,4.42025,91.0,77.0
1598746.0,1598650.0,4.870582,4.463972,82.0,91.0
1620422.0,1620319.0,4.923048,4.512065,84.0,77.0
1637302.0,1637207.0,4.966769,4.547043,90.0,72.0
1658988.0,1658883.0,5.019235,4.603881,84.0,91.0
1680666.0,1680562.0,5.076073,4.651975,91.0,77.0
1697502.0,1697406.0,5.115423,4.691324,81.0,81.0
1719174.0,1719070.0,5.167889,4.74379,84.0,84.0
1741232.0,1741128.0,5.224727,4.791884,90.0,76.0
1757644.0,1757547.0,5.264076,4.831234,83.0,83.0
1779315.0,1779210.0,5.316542,4.883699,84.0,84.0
1801416.0,1801313.0,5.37338,4.936165,90.0,83.0
1817749.0,1817652.0,5.41273,4.971143,84.0,74.0
1839812.0,1839708.0,5.465196,5.023609,83.0,83.0
1861485.0,1861381.0,5.522034,5.076075,91.0,84.0
1877892.0,1877795.0,5.561383,5.115424,83.0,83.0
1899986.0,1899882.0,5.618221,5.16789,90.0,83.0
1921570.0,1921465.0,5.670687,5.215984,85.0,77.0
1938446.0,1938351.0,5.714409,5.259706,90.0,90.0
1960117.0,1960012.0,5.766875,5.307799,84.0,77.0
1981788.0,1981684.0,5.819341,5.355893,84.0,77.0
1998623.0,1998526.0,5.863062,5.399615,90.0,90.0
