lt,rt,lp,rp,lv,rv
1155.0,1141.0,0.7957321,0.7039168,0.0,0.0
22381.0,22294.0,0.8788031,0.7782435,137.0,123.0
44204.0,44115.0,1.071178,0.961874,308.0,294.0
60953.0,60867.0,1.259181,1.145504,393.0,383.0
82599.0,82509.0,1.543371,1.425322,459.0,452.0
104699.0,104610.0,1.858166,1.740118,498.0,498.0
121198.0,121112.0,2.107378,1.980586,528.0,509.0
143022.0,142931.0,2.444034,2.31287,539.0,532.0
159861.0,159774.0,2.715108,2.575199,563.0,545.0
181689.0,181599.0,3.073625,2.920599,574.0,553.0
203974.0,203885.0,3.445258,3.274744,583.0,556.0
220466.0,220382.0,3.725075,3.541445,593.0,565.0
242282.0,242194.0,4.101081,3.899962,603.0,575.0
264516.0,264427.0,4.477086,4.267223,592.0,578.0
281007.0,280921.0,4.765648,4.547041,612.0,593.0
303290.0,303201.0,5.159142,4.927419,617.0,597.0
325105.0,325016.0,5.552637,5.307796,631.0,610.0
341599.0,341513.0,5.854315,5.60073,640.0,621.0
363748.0,363657.0,6.256554,5.989852,635.0,614.0
380238.0,380152.0,6.55386,6.278414,631.0,612.0
402429.0,402340.0,6.960471,6.667536,641.0,613.0
424241.0,424152.0,7.362709,7.052285,645.0,617.0
440732.0,440647.0,7.664388,7.340847,640.0,612.0
462971.0,462881.0,8.066626,7.734342,632.0,619.0
484772.0,484682.0,8.464492,8.119091,638.0,617.0
501731.0,501646.0,8.774915,8.416397,640.0,613.0
523544.0,523453.0,9.168408,8.801147,631.0,617.0
540036.0,539950.0,9.470087,9.089708,640.0,612.0
562277.0,562189.0,9.876698,9.483202,639.0,619.0
584087.0,583998.0,10.27456,9.867951,638.0,617.0
601045.0,600960.0,10.58499,10.16526,640.0,613.0
622857.0,622766.0,10.97848,10.55001,631.0,617.0
644654.0,644565.0,11.37635,10.93039,638.0,610.0
661571.0,661485.0,11.6824,11.22332,633.0,605.0
683288.0,683199.0,12.07589,11.6037,633.0,613.0
700163.0,700077.0,12.38194,11.89663,634.0,607.0
721979.0,721888.0,12.77544,12.28138,631.0,617.0
743782.0,743693.0,13.1733,12.66176,638.0,610.0
760610.0,760525.0,13.47498,12.95469,627.0,609.0
782416.0,782328.0,13.86847,13.33944,631.0,617.0
804679.0,804589.0,14.27509,13.72419,639.0,604.0
821167.0,821081.0,14.57676,14.01275,640.0,612.0
842971.0,842880.0,14.97463,14.39313,638.0,610.0
859888.0,859801.0,15.28068,14.69044,633.0,615.0
881699.0,881609.0,15.67418,15.07082,631.0,610.0
903966.0,903876.0,16.07641,15.45994,632.0,611.0
920451.0,920367.0,16.37372,15.7485,631.0,612.0
942162.0,942072.0,16.76721,16.12451,634.0,606.0
964377.0,964289.0,17.17382,16.50926,640.0,606.0
980862.0,980776.0,17.47113,16.79782,631.0,612.0
1003127.0,1003037.0,17.87774,17.18694,638.0,611.0
1025084.0,1024995.0,18.27123,17.56732,627.0,606.0
1041728.0,1041644.0,18.57729,17.85588,643.0,606.0
1064114.0,1064024.0,18.9839,18.245,635.0,608.0
1080511.0,1080425.0,19.2812,18.52919,634.0,606.0
1102858.0,1102768.0,19.68781,18.91831,636.0,609.0
1124809.0,1124719.0,20.08568,19.29869,634.0,606.0
1141450.0,1141366.0,20.39173,19.58725,643.0,606.0
1163832.0,1163741.0,20.79834,19.972,635.0,601.0
1180300.0,1180215.0,21.10002,20.25619,641.0,603.0
1202714.0,1202624.0,21.50226,20.64094,627.0,600.0
1224664.0,1224576.0,21.90012,21.01695,634.0,599.0
1241302.0,1241217.0,22.19743,21.30114,625.0,597.0
1263680.0,1263589.0,22.60404,21.68589,635.0,601.0
1280315.0,1280230.0,22.90572,21.97008,634.0,597.0
1302736.0,1302646.0,23.31233,22.35483,634.0,600.0
1324680.0,1324590.0,23.7102,22.7352,634.0,606.0
1341157.0,1341072.0,24.0075,23.01939,631.0,603.0
1363457.0,1363368.0,24.40974,23.39977,631.0,597.0
1380092.0,1380005.0,24.70705,23.68396,625.0,597.0
1402511.0,1402420.0,25.11366,24.06871,634.0,600.0
