lt,rt,lp,rp,lv,rv
1144.0,1141.0,0.2317242,0.2011191,0.0,0.0
20081.0,20127.0,0.2623293,0.2317242,56.0,56.0
40419.0,40470.0,0.3454002,0.3147951,142.0,142.0
60076.0,60135.0,0.4459598,0.4066104,179.0,163.0
79987.0,80052.0,0.5552637,0.5115421,192.0,184.0
100346.0,100416.0,0.677684,0.6295903,210.0,202.0
120379.0,120454.0,0.8044765,0.7563828,221.0,221.0
140516.0,140597.0,0.9487576,0.8962917,250.0,243.0
160444.0,160531.0,1.097411,1.044945,261.0,261.0
180438.0,180531.0,1.254808,1.202343,275.0,275.0
200223.0,200321.0,1.416578,1.364112,286.0,286.0
220251.0,220356.0,1.58272,1.525882,290.0,282.0
240208.0,240320.0,1.748862,1.692024,291.0,291.0
260045.0,260163.0,1.915004,1.858166,293.0,293.0
280129.0,280253.0,2.08989,2.02868,304.0,297.0
300494.0,300623.0,2.269148,2.203566,308.0,300.0
320612.0,320748.0,2.444035,2.37408,304.0,296.0
340001.0,340144.0,2.614549,2.544594,307.0,307.0
360595.0,360743.0,2.793807,2.723853,304.0,304.0
380005.0,379799.0,2.973065,2.894367,323.0,313.0
400257.0,400074.0,3.156696,3.069253,317.0,301.0
420113.0,419945.0,3.335954,3.244139,315.0,308.0
440009.0,439857.0,3.51084,3.419025,307.0,307.0
460291.0,460166.0,3.694471,3.593912,316.0,301.0
480303.0,480190.0,3.873729,3.77317,313.0,313.0
500045.0,499941.0,4.052988,3.943684,317.0,302.0
520125.0,520026.0,4.236618,4.122942,320.0,312.0
540222.0,540132.0,4.415876,4.297829,312.0,304.0
560121.0,560037.0,4.599507,4.472715,323.0,307.0
580266.0,580188.0,4.783137,4.647601,318.0,303.0
600319.0,600367.0,4.966768,4.822487,322.0,303.0
620201.0,620255.0,5.146026,4.993001,313.0,300.0
640094.0,640155.0,5.325284,5.163516,315.0,299.0
660443.0,660510.0,5.513287,5.338402,323.0,300.0
680374.0,680447.0,5.692545,5.508916,314.0,299.0
700096.0,700175.0,5.867432,5.683802,310.0,310.0
720064.0,720148.0,6.04669,5.858688,314.0,306.0
739968.0,740059.0,6.23032,6.033575,322.0,307.0
760315.0,760411.0,6.413951,6.208461,315.0,300.0
780336.0,780438.0,6.597581,6.383347,320.0,305.0
800147.0,800255.0,6.772468,6.558233,309.0,308.0
820207.0,820320.0,6.956098,6.733119,320.0,305.0
840281.0,840401.0,7.139729,6.908006,320.0,304.0
860147.0,860273.0,7.318987,7.082892,315.0,308.0
880262.0,880394.0,7.502617,7.257778,319.0,304.0
900166.0,900304.0,7.681876,7.432664,315.0,307.0
920318.0,920461.0,7.865506,7.611923,318.0,311.0
945758.0,945595.0,8.049137,7.834903,318.0,310.0
960060.0,959884.0,8.228395,7.957323,320.0,299.0
979909.0,979735.0,8.407654,8.132209,316.0,308.0
1000222.0,1000064.0,8.591285,8.307095,316.0,301.0
1020309.0,1020160.0,8.770543,8.48198,312.0,304.0
1040359.0,1040239.0,8.949801,8.656866,312.0,304.0
1060335.0,1060227.0,9.12906,8.831752,314.0,306.0
1079835.0,1079734.0,9.308318,9.002266,321.0,305.0
1099859.0,1099767.0,9.487576,9.177152,313.0,305.0
1120138.0,1120052.0,9.671207,9.35641,316.0,309.0
1140351.0,1140271.0,9.854838,9.531296,317.0,302.0
1220286.0,1220350.0,10.57624,10.23084,320.0,304.0
1240375.0,1240444.0,10.75988,10.40573,319.0,304.0
1260255.0,1260330.0,10.93913,10.58061,315.0,307.0
1280379.0,1280460.0,11.12276,10.75987,319.0,311.0
1300293.0,1300380.0,11.3064,10.93476,322.0,307.0
1320382.0,1320475.0,11.49003,11.10964,319.0,304.0
1340556.0,1340655.0,11.66928,11.28016,310.0,295.0
1360526.0,1360631.0,11.84854,11.45067,314.0,298.0
1380077.0,1380190.0,12.02343,11.61681,313.0,297.0
1400076.0,1400194.0,12.20269,11.7917,313.0,305.0
1420242.0,1420365.0,12.38195,11.96658,311.0,303.0
1440512.0,1440641.0,12.56995,12.14584,324.0,309.0
1460573.0,1460709.0,12.74921,12.32073,312.0,305.0
1480217.0,1480358.0,12.92846,12.49124,319.0,303.0
1500311.0,1505734.0,13.10772,12.66613,312.0,304.0
1520077.0,1519884.0,13.28698,12.83664,317.0,307.0
1540075.0,1539898.0,13.46624,13.01153,313.0,305.0
1559880.0,1559715.0,13.6455,13.18641,316.0,308.0
1579887.0,1579739.0,13.82476,13.3613,313.0,305.0
1600357.0,1600225.0,14.00839,13.54056,314.0,306.0
1619885.0,1619777.0,14.18327,13.71107,313.0,305.0
1640115.0,1640012.0,14.3669,13.89033,317.0,310.0
1660061.0,1659968.0,14.54616,14.06084,314.0,299.0
1680331.0,1680244.0,14.72979,14.23573,317.0,301.0
1700399.0,1700318.0,14.90905,14.41061,312.0,304.0
1720047.0,1719972.0,15.08831,14.58113,319.0,303.0
1739957.0,1740009.0,15.2632,14.75601,307.0,305.0
1780351.0,1780413.0,15.62609,15.10579,313.0,306.0
1800208.0,1800275.0,15.80534,15.28067,316.0,308.0
1820308.0,1820381.0,15.98897,15.45556,319.0,304.0
1840429.0,1840509.0,16.16823,15.63482,311.0,311.0
1860336.0,1860421.0,16.34749,15.80533,315.0,299.0
1880493.0,1880585.0,16.53112,15.98022,318.0,303.0
1900435.0,1900532.0,16.71038,16.1551,314.0,306.0
1920537.0,1920641.0,16.88964,16.32999,312.0,304.0
1940085.0,1940195.0,17.0689,16.5005,320.0,305.0
1960582.0,1960698.0,17.25253,16.67976,313.0,306.0
1980168.0,1980289.0,17.43178,16.85027,320.0,304.0
