=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.05 23:14:41 =~=~=~=~=~=~=~=~=~=~=~=
lt,rt,lp,rp,lv,rv
1112,1107,0.0,0.0,0.0,0.0
7332,6460,-0.0,-0.0,0.0,0.0
22727,22045,-0.0,-0.0,0.0,0.0
28464,27753,0.004372155,-0.0,27.0,0.0
34150,33610,0.02186078,0.02186078,107.0,133.0
40140,49986,0.05683801,0.113676,204.0,196.0
56711,56145,0.170514,0.1530254,240.0,223.0
62697,62139,0.2098634,0.196747,230.0,255.0
68694,68262,0.253585,0.2404685,255.0,254.0
85310,85071,0.3803775,0.3760054,267.0,280.0
91764,91350,0.4284712,0.4284712,260.0,292.0
98048,103461,0.4809371,0.4853092,292.0,316.0
119562,119006,0.6645675,0.6864283,298.0,329.0
125396,124676,0.7126612,0.7388942,288.0,323.0
131080,140222,0.7651271,0.9050361,323.0,374.0
146831,146160,0.9137803,0.9662462,330.0,361.0
153049,152398,0.9749905,1.031829,345.0,367.0
158859,158216,1.031829,1.097411,341.0,394.0
174680,174251,1.193598,1.29853,358.0,439.0
180758,180162,1.254808,1.368484,352.0,414.0
186677,186083,1.320391,1.442811,387.0,439.0
192610,202179,1.385973,1.657047,386.0,466.0
208894,208320,1.565231,1.735745,385.0,448.0
214859,214291,1.630814,1.818816,384.0,487.0
220835,230379,1.692024,2.059285,358.0,523.0
237360,236932,1.875654,2.1511,388.0,489.0
243619,243197,1.936864,2.25166,342.0,561.0
249888,266200,2.002447,2.53585,366.0,578.0
272788,272034,2.234171,2.728224,354.0,578.0
278400,277664,2.286637,2.824412,327.0,597.0
293936,293414,2.426546,3.104229,315.0,621.0
299823,299137,2.479012,3.204789,311.0,616.0
305561,304880,2.527106,3.309721,293.0,637.0
311320,320683,2.570827,3.602655,265.0,648.0
327335,326711,2.706364,3.716331,296.0,659.0
333205,332591,2.754458,3.825635,286.0,650.0
339094,338494,2.798179,3.939311,259.0,674.0
355578,355174,2.929344,4.26285,278.0,678.0
361702,361121,2.98181,4.372154,299.0,643.0
367653,367077,3.029903,4.48583,282.0,668.0
383790,383409,3.16544,4.800625,294.0,674.0
389960,389403,3.213534,4.914301,272.0,663.0
396081,395652,3.261628,5.03235,280.0,661.0
402335,412289,3.314094,5.355889,288.0,680.0
419164,418752,3.462747,5.469565,309.0,615.0
431265,440261,3.515213,5.880548,291.0,669.0
446815,446095,3.720704,5.985479,336.0,629.0
452926,452220,3.777542,6.099155,325.0,649.0
458627,457925,3.83438,6.199715,348.0,615.0
474136,473654,3.987406,6.479533,345.0,622.0
