lt,rt,lp,rp,lv,rv
459.0,449.0,94.0,79.0,0.0,0.0
20298.0,20115.0,103.0,90.0,453.0,559.0
40765.0,40578.0,123.0,114.0,977.0,1172.0
61804.0,61622.0,148.0,143.0,1188.0,1378.0
78101.0,77915.0,170.0,168.0,1349.0,1534.0
99254.0,99071.0,202.0,204.0,1513.0,1701.0
119982.0,119796.0,237.0,243.0,1688.0,1881.0
140872.0,140688.0,275.0,287.0,1819.0,2106.0
157753.0,157566.0,308.0,324.0,1954.0,2192.0
178644.0,178460.0,351.0,371.0,2058.0,2249.0
199990.0,199804.0,395.0,421.0,2061.0,2342.0
220882.0,220699.0,439.0,471.0,2105.0,2393.0
241787.0,241601.0,485.0,522.0,2200.0,2439.0
258656.0,258472.0,522.0,564.0,2193.0,2489.0
279563.0,279377.0,569.0,617.0,2248.0,2535.0
300895.0,300711.0,617.0,671.0,2250.0,2531.0
321802.0,321616.0,664.0,723.0,2247.0,2487.0
338258.0,338076.0,701.0,765.0,2247.0,2551.0
359604.0,359418.0,750.0,818.0,2296.0,2483.0
380499.0,380315.0,797.0,871.0,2249.0,2536.0
397411.0,397225.0,835.0,914.0,2246.0,2543.0
418298.0,418116.0,882.0,967.0,2250.0,2536.0
439203.0,439018.0,930.0,1021.0,2296.0,2583.0
460593.0,460409.0,979.0,1075.0,2291.0,2524.0
481586.0,481399.0,1027.0,1129.0,2286.0,2572.0
498657.0,498473.0,1066.0,1174.0,2284.0,2635.0
519734.0,519547.0,1114.0,1228.0,2277.0,2562.0
540799.0,540615.0,1162.0,1282.0,2278.0,2563.0
557854.0,557667.0,1201.0,1327.0,2286.0,2638.0
578917.0,578733.0,1249.0,1381.0,2279.0,2563.0
600437.0,600249.0,1298.0,1437.0,2277.0,2602.0
621499.0,621315.0,1346.0,1491.0,2278.0,2563.0
638142.0,637957.0,1385.0,1534.0,2342.0,2584.0
659648.0,659465.0,1433.0,1590.0,2232.0,2603.0
680726.0,680539.0,1482.0,1644.0,2324.0,2562.0
697800.0,697616.0,1521.0,1688.0,2283.0,2576.0
718880.0,718692.0,1569.0,1742.0,2277.0,2562.0
739942.0,739760.0,1618.0,1797.0,2326.0,2610.0
761434.0,761247.0,1668.0,1853.0,2326.0,2606.0
778063.0,777881.0,1706.0,1896.0,2284.0,2585.0
799583.0,799396.0,1755.0,1952.0,2277.0,2602.0
820646.0,820462.0,1804.0,2007.0,2326.0,2610.0
841727.0,841541.0,1852.0,2062.0,2276.0,2609.0
858770.0,858587.0,1892.0,2106.0,2346.0,2581.0
879849.0,879662.0,1941.0,2160.0,2324.0,2562.0
901356.0,901174.0,1990.0,2215.0,2278.0,2556.0
918002.0,917816.0,2028.0,2258.0,2281.0,2583.0
939068.0,938885.0,2076.0,2312.0,2279.0,2563.0
960557.0,960371.0,2125.0,2366.0,2280.0,2513.0
981621.0,981437.0,2173.0,2421.0,2278.0,2610.0
998706.0,998521.0,2212.0,2465.0,2282.0,2575.0
1019773.0,1019589.0,2261.0,2519.0,2326.0,2563.0
1041025.0,1040840.0,2309.0,2573.0,2258.0,2541.0
1058240.0,1058059.0,2348.0,2617.0,2265.0,2555.0
1079493.0,1079306.0,2396.0,2671.0,2259.0,2541.0
1101169.0,1100987.0,2445.0,2727.0,2260.0,2583.0
1117988.0,1117802.0,2483.0,2771.0,2258.0,2616.0
1139224.0,1139043.0,2532.0,2826.0,2307.0,2589.0
1160889.0,1160702.0,2581.0,2882.0,2261.0,2585.0
1177692.0,1177509.0,2619.0,2925.0,2260.0,2558.0
1199383.0,1199198.0,2668.0,2981.0,2259.0,2581.0
1220619.0,1220436.0,2716.0,3036.0,2260.0,2589.0
1237437.0,1237250.0,2754.0,3079.0,2258.0,2557.0
1259111.0,1258929.0,2804.0,3136.0,2307.0,2629.0
1280364.0,1280180.0,2852.0,3191.0,2258.0,2587.0
1297609.0,1297425.0,2891.0,3236.0,2261.0,2609.0
1318862.0,1318675.0,2939.0,3290.0,2258.0,2541.0
1340099.0,1339917.0,2987.0,3345.0,2260.0,2589.0
1361762.0,1361576.0,3036.0,3401.0,2262.0,2585.0
1378566.0,1378382.0,3074.0,3445.0,2260.0,2618.0
1400254.0,1400069.0,3123.0,3501.0,2259.0,2582.0
1421492.0,1421310.0,3172.0,3556.0,2307.0,2589.0
1438309.0,1438124.0,3210.0,3599.0,2258.0,2557.0
1459984.0,1459801.0,3260.0,3654.0,2307.0,2537.0
1481235.0,1481050.0,3309.0,3708.0,2305.0,2541.0
1498481.0,1498297.0,3348.0,3752.0,2261.0,2550.0
1519728.0,1519542.0,3396.0,3807.0,2259.0,2588.0
1540964.0,1540780.0,3445.0,3862.0,2307.0,2589.0
1558193.0,1558007.0,3484.0,3906.0,2263.0,2554.0
