obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
-3.942185e-16,0.0,-7.488744e-14,0.0
-3.407727e-14,0.0,-7.488744e-14,0.0
0.5126935,0.0,2.211278,0.0
2.362194,-0.003333333,5.221996,-0.0002971052
7.426371,-0.01111111,12.00659,-0.001391321
12.42575,-0.02111111,15.73143,-0.002583701
18.33256,-0.02444445,24.31251,-0.006532132
23.23237,-0.02444445,28.73894,-0.008661107
26.58269,-0.02222222,37.50917,-0.02467265
38.66496,-0.02111111,41.76659,-0.02634154
45.0569,-0.01555556,50.19729,-0.03391023
50.53389,-0.01111111,54.26836,-0.03366534
53.64513,0.005407406,62.23672,-0.03816658
64.00995,0.02874095,66.5388,-0.03210378
70.42271,0.06651886,74.57941,-0.01011324
76.40415,0.1020742,78.53177,0.004174558
82.51754,0.1454077,86.04449,0.03760655
87.89932,0.1665188,89.61074,0.05669199
89.4617,0.2131854,97.21595,0.09279016
100.5429,0.2265187,101.2554,0.1225202
106.1275,0.2731853,108.632,0.1768507
111.0141,0.2887407,112.5378,0.210782
118.0645,0.3098522,120.5711,0.2862526
122.381,0.3265186,124.4174,0.3245778
130.3579,0.3442965,132.3668,0.4053207
135.8923,0.3642965,136.3807,0.4534986
142.0037,0.408741,144.2139,0.5544423
146.4514,0.4320741,148.2792,0.6103726
154.4896,0.4665189,155.9653,0.7207043
159.6168,0.4876304,159.9413,0.7834054
166.2296,0.5231858,167.7354,0.9121388
171.9018,0.5298524,171.7256,0.9817876
178.29,0.5565191,179.679,1.118954
182.6149,0.5620747,183.6598,1.191619
190.3112,0.5787411,191.3569,1.332049
195.8978,0.5920744,195.3794,1.410897
202.0755,0.615408,203.3018,1.570771
206.4619,0.6320744,207.3195,1.654494
214.2784,0.6654077,215.1922,1.822207
219.3809,0.6809636,219.1842,1.911152
226.2296,0.6998525,227.1288,2.092872
231.7556,0.7098523,231.0538,2.185205
237.9997,0.7331858,239.0567,2.377366
242.3171,0.7387414,242.9983,2.473873
248.9346,0.7576304,250.668,2.66119
255.5472,0.7765193,254.5862,2.762274
261.7114,0.803186,262.5032,2.970492
266.0995,0.8187419,266.5199,3.0785
273.6982,0.8542973,274.3266,3.292397
278.9414,0.8742972,278.4225,3.40927
285.8743,0.9109641,286.2934,3.640069
291.9128,0.9276305,290.389,3.763455
297.9582,0.9531861,298.1603,4.001034
302.3188,0.9587418,302.2006,4.125906
309.4718,0.9687415,310.1613,4.371128
315.7607,0.9798528,314.0957,4.49559
322.0168,0.9887415,322.0775,4.751063
326.4719,0.9965192,326.1677,4.883859
333.9977,1.018741,334.2569,5.149249
339.2266,1.030963,338.1417,5.279687
345.8911,1.056519,345.8289,5.543029
351.8463,1.072074,349.8699,5.683854
357.8788,1.098741,357.702,5.959922
362.1847,1.106519,361.6782,6.10134
369.3302,1.11763,369.0365,6.361688
375.5131,1.124297,373.1549,6.51123
381.8791,1.138741,381.0571,6.801088
386.2598,1.148741,385.092,6.950675
389.765,1.169852,393.2918,7.248799
399.898,1.179852,397.2514,7.399566
406.0491,1.193185,404.9184,7.694542
411.6254,1.200963,408.9447,7.851367
417.8877,1.216519,416.7458,8.158454
422.2624,1.224297,420.7258,8.31691
424.6383,1.244297,428.4204,8.615958
435.7825,1.254296,432.5957,8.787222
442.0281,1.272074,440.4899,9.109941
446.4212,1.282074,444.4279,9.274414
453.524,1.300963,452.1621,9.600492
457.818,1.310963,456.1851,9.771729
465.8076,1.325408,464.183,10.11616
471.4782,1.336519,468.1266,10.28827
477.7969,1.359852,476.0937,10.63962
482.0529,1.370963,480.0007,10.81374
489.782,1.394296,487.8223,11.16494
495.0398,1.405407,491.8394,11.34881
501.9608,1.425407,499.7829,11.71732
507.408,1.440963,503.8188,11.90736
513.8195,1.473185,511.6487,12.28113
518.418,1.489852,515.7141,12.4778
525.9529,1.524296,523.4544,12.85548
530.8098,1.539852,527.4501,13.05495
533.5511,1.56763,535.0924,13.43231
543.5035,1.580963,538.9653,13.63096
550.041,1.610963,546.8099,14.03353
