obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
-3.946414e-16,0.0,-1.495209e-13,-3.598644e-17
-3.946414e-16,0.0,-7.469576e-14,-3.598644e-17
0.4860317,0.0,1.047014,-3.598644e-17
3.02633,-0.004444445,5.970909,-0.01389833
6.693019,-0.02555555,8.510747,-0.07881942
11.83547,-0.06999999,15.84655,-0.5222817
17.35127,-0.08,20.01745,-0.856668
24.31329,-0.09888888,28.81174,-1.729171
30.5067,-0.1077778,33.28617,-2.213291
37.49559,-0.1222222,41.7376,-3.226631
44.16986,-0.1244444,46.14831,-3.77837
46.842,-0.1166667,54.56012,-4.794033
56.74147,-0.1111111,58.66385,-5.251888
63.58136,-0.07999999,65.44391,-5.865113
69.52736,-0.05888888,68.1285,-6.023388
76.10571,0.005555563,76.72126,-6.160225
81.89743,0.02540772,80.42944,-6.065989
87.98419,0.1065192,87.53949,-5.453366
94.06589,0.1254081,91.43327,-4.962478
99.98297,0.1654081,98.72409,-3.787761
105.0128,0.1798524,102.2978,-3.138005
111.1437,0.2020745,110.065,-1.582501
117.1454,0.205408,113.9912,-0.7644994
122.729,0.2154078,121.4772,0.8480945
128.6262,0.2209634,125.4245,1.734798
134.5775,0.2542967,133.0419,3.645645
140.6245,0.2742967,136.9598,4.748115
141.9326,0.3242969,144.6799,7.22888
152.8343,0.3509635,148.126,8.490586
158.3246,0.4109635,155.394,11.52284
164.6432,0.4431858,158.791,13.13535
166.6947,0.5054078,166.1147,17.04202
176.8938,0.5331859,169.6303,19.11695
183.1194,0.5642967,176.0404,23.17426
188.6947,0.5931859,179.4055,25.44296
195.1816,0.6287412,185.3127,29.64928
200.5885,0.6498522,188.0527,31.73161
206.9975,0.6942968,194.2922,36.80911
212.9284,0.7176303,197.2108,39.35669
218.9725,0.765408,202.8011,44.60958
225.0101,0.7765193,205.7447,47.50137
231.0248,0.8220743,211.0153,53.08437
236.6514,0.8354081,213.7039,56.0563
242.4061,0.8476299,218.8814,61.89449
248.7268,0.8531856,221.4581,64.84653
254.7384,0.869852,226.5886,70.86601
260.4871,0.8787412,229.1639,73.97333
260.5099,0.8965186,233.8127,79.72521
272.2093,0.9076299,236.3838,83.01639
278.6006,0.9320745,241.1046,89.33138
284.3386,0.9454078,243.5087,92.66084
290.5221,0.9731854,247.7932,98.86605
295.9789,0.9876298,249.8871,102.0401
297.8179,1.016519,253.8592,108.3527
308.7168,1.033185,255.9386,111.8404
314.9594,1.06763,259.6533,118.4521
319.9101,1.080963,261.3633,121.6593
327.0387,1.096519,264.9932,128.6835
331.3528,1.099852,266.7683,132.1698
338.9054,1.096519,270.3308,139.1188
344.4181,1.094296,272.1204,142.5859
350.6569,1.093185,275.7625,149.6225
354.842,1.098741,277.3885,152.8074
357.3913,1.112074,280.8848,159.8239
368.5383,1.123186,282.6301,163.4591
374.7577,1.149852,285.3545,169.4101
379.9138,1.165408,286.4636,171.9944
387.5377,1.199852,289.5819,179.7881
391.9521,1.222075,290.9818,183.6383
399.4225,1.249852,293.3855,190.8168
404.6582,1.256519,294.5716,194.4659
410.7521,1.266519,296.9369,201.9256
414.9964,1.275408,298.0769,205.672
418.3511,1.28763,300.1198,212.6468
428.0712,1.29763,301.2029,216.5125
434.3196,1.310964,303.1969,223.9656
439.295,1.314297,304.1918,227.7591
446.2358,1.324297,306.0938,235.2306
450.3274,1.328742,307.0613,239.1496
458.2436,1.338742,308.8935,246.8297
463.8999,1.343186,309.8017,250.7508
470.2327,1.353186,311.5322,258.4763
474.7723,1.362075,312.3609,262.3889
482.7375,1.382075,313.829,269.8643
488.3872,1.394297,314.4752,273.4871
494.6208,1.426519,315.6444,281.09
500.1287,1.446519,316.1512,285.147
506.5268,1.488741,316.8997,293.1672
511.0681,1.509853,317.142,297.1374
517.6102,1.54763,317.3877,304.533
524.1676,1.56763,317.4008,308.6807
530.5381,1.608742,317.1811,316.6363
534.9195,1.628742,316.9462,320.6859
542.8167,1.667631,316.2589,328.5294
548.4475,1.682075,315.8286,332.3798
554.4732,1.709853,314.7991,340.1029
559.8456,1.722075,314.2063,343.9917
566.0873,1.742075,312.8951,351.806
570.4877,1.755408,312.1809,355.6308
576.3579,1.784297,310.6109,363.1173
583.8606,1.796519,309.7102,367.0396
590.0817,1.827631,307.6813,375.022
594.94,1.843186,306.5959,378.9079
602.2218,1.869853,304.3073,386.528
607.4008,1.885408,303.0649,390.3458
614.1171,1.918742,300.4465,397.7316
619.7616,1.937631,299.0143,401.4592
626.1927,1.977631,296.0371,408.5538
630.4877,1.994297,294.4053,412.1739
636.5074,2.025408,291.2073,418.8575
644.1856,2.038742,289.3287,422.5748
650.471,2.066519,285.5481,429.6975
655.3923,2.079853,283.5792,433.2253
662.6801,2.106519,279.7294,439.8146
667.9518,2.119853,277.6193,443.2636
674.629,2.144297,273.3159,450.0151
680.1511,2.15763,271.1012,453.3456
686.4104,2.187631,266.635,459.7387
690.8712,2.200964,264.3289,462.9005
696.592,2.226519,259.7181,468.9727
703.7934,2.236519,257.2418,472.1259
710.5526,2.254297,252.2143,478.3553
715.2536,2.263186,249.6689,481.4243
722.319,2.27763,244.8298,487.1301
727.9632,2.284297,242.1848,490.1856
734.3477,2.294297,236.964,496.1155
739.9323,2.300964,234.2583,499.1378
746.2071,2.319853,229.0269,504.8175
750.7976,2.329853,226.3083,507.6831
756.598,2.358742,221.1284,512.9235
764.2768,2.373186,218.1363,515.8156
770.5642,2.403186,212.2036,521.2992
775.554,2.419853,209.1346,524.0004
782.6923,2.455408,203.0877,529.0442
788.4008,2.470964,199.9743,531.514
794.7333,2.49763,193.8189,536.1663
800.1764,2.506519,190.677,538.4815
806.1943,2.525408,184.2405,543.088
810.6645,2.534297,180.9853,545.35
816.4547,2.547631,174.6574,549.6552
824.1182,2.554297,171.3333,551.8679
830.2122,2.570964,164.6825,556.1771
835.1896,2.580964,161.2189,558.3516
842.4731,2.606519,154.6712,562.2957
848.2816,2.622075,151.1048,564.3354
854.6516,2.653186,144.064,568.1161
860.171,2.668741,140.5255,569.9263
866.4365,2.698742,133.5539,573.2885
870.8964,2.710964,129.8755,574.9782
876.8299,2.725408,122.555,578.2532
884.7028,2.733186,118.897,579.8362
890.7999,2.754297,111.6665,582.837
895.5843,2.768741,108.0068,584.2684
898.2554,2.800964,100.6736,586.9361
908.4001,2.815408,96.99189,588.1816
914.7383,2.844297,89.58355,590.4772
920.1829,2.857631,85.78216,591.5867
926.5089,2.884297,78.20914,593.6334
930.7558,2.896519,74.32906,594.6038
937.6671,2.918741,66.63686,596.3917
943.8881,2.929852,62.71664,597.2344
950.4476,2.955408,54.96939,598.7453
955.4254,2.968741,51.04284,599.4308
962.5985,2.996519,43.46155,600.5869
967.4298,3.012075,39.58411,601.0919
973.3848,3.042075,32.00394,601.875
979.9108,3.053186,28.04291,602.2261
986.1464,3.073186,20.04408,602.8131
990.5989,3.079853,15.93286,603.0673
998.2735,3.092075,8.360961,603.4644
