v_hat,v,v_avg
0.0,0.0,0.0
-2.613232e-12,0.0,-1.567939e-12
-5.317636e-15,0.0,-3.190581e-15
-1.724208e-18,0.0,-1.034525e-18
5.379994e-20,0.0,3.227997e-20
0.0,0.0,0.0
-2.613232e-12,0.0,-1.567939e-12
-5.317636e-15,0.0,-3.190581e-15
-1.724208e-18,0.0,-1.034525e-18
5.379994e-20,0.0,3.227997e-20
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
-2.658818e-15,0.0,-1.595291e-15
-8.621039e-19,0.0,-5.172624e-19
2.689997e-20,0.0,1.613998e-20
1.79953e-22,0.0,1.079718e-22
8.066002e-25,0.0,4.839602e-25
2.893353e-27,0.0,1.736012e-27
8.419864e-30,0.0,5.051918e-30
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
-2.658818e-15,0.0,-1.595291e-15
-8.621039e-19,0.0,-5.172624e-19
2.689997e-20,0.0,1.613998e-20
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
0.0,0.0,0.0
-1.30661e-12,0.0,-7.839662e-13
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.30566e-12,0.0,-7.833959e-13
-2.652795e-15,0.0,-1.591677e-15
-8.357864e-19,0.0,-5.014719e-19
2.699254e-20,0.0,1.619552e-20
0.0,0.0,0.0
2.613232e-12,0.0,1.567939e-12
5.317636e-15,0.0,3.190581e-15
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.30566e-12,0.0,7.833959e-13
2.652795e-15,0.0,1.591677e-15
8.357864e-19,0.0,5.014719e-19
-2.699254e-20,0.0,-1.619552e-20
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
2.658818e-15,0.0,1.595291e-15
8.621039e-19,0.0,5.172624e-19
-2.689997e-20,0.0,-1.613998e-20
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
2.658818e-15,0.0,1.595291e-15
8.621039e-19,0.0,5.172624e-19
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.307568e-12,0.0,7.845408e-13
2.664817e-15,0.0,1.59889e-15
8.883199e-19,0.0,5.329919e-19
-2.680776e-20,0.0,-1.608466e-20
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
-2.658818e-15,0.0,-1.595291e-15
-8.621039e-19,0.0,-5.172624e-19
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-2.612753e-12,0.0,-1.567652e-12
-5.314619e-15,0.0,-3.188771e-15
-1.711024e-18,0.0,-1.026615e-18
5.384631e-20,0.0,3.230779e-20
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-2.604885e-12,0.0,-1.562931e-12
-5.265052e-15,0.0,-3.159031e-15
-1.494426e-18,0.0,-8.966554e-19
5.460815e-20,0.0,3.276489e-20
3.622036e-22,0.0,2.173222e-22
1.617847e-24,0.0,9.707083e-25
5.788043e-27,0.0,3.472826e-27
1.679164e-29,0.0,1.007499e-29
3.540477e-32,0.0,2.124286e-32
1.886362e-35,0.0,1.131817e-35
-3.116811e-37,0.0,-1.870087e-37
0.0,0.0,0.0
0.0,0.0,0.0
2.612755e-12,0.0,1.567653e-12
0.0,0.0,0.0
3.981377e-12,0.0,2.388826e-12
1.790002e-14,0.0,1.074001e-14
6.43566e-17,0.0,3.861396e-17
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.307566e-12,0.0,-7.845398e-13
-2.664805e-15,0.0,-1.598883e-15
-8.88269e-19,0.0,-5.329614e-19
2.680794e-20,0.0,1.608477e-20
1.796914e-22,0.0,1.078148e-22
8.060711e-25,0.0,4.836426e-25
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
0.0,0.0,0.0
1.30661e-12,0.0,7.839662e-13
2.658783e-15,0.0,1.59527e-15
8.619529e-19,0.0,5.171717e-19
-2.690051e-20,0.0,-1.61403e-20
-1.799545e-22,0.0,-1.079727e-22
-8.066033e-25,0.0,-4.83962e-25
-2.893354e-27,0.0,-1.736013e-27
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
2.658818e-15,0.0,1.595291e-15
8.621039e-19,0.0,5.172624e-19
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
0.0,0.0,0.0
0.0,0.0,0.0
-1.307093e-12,0.0,-7.842557e-13
0.0,0.0,0.0
1.306621e-12,0.0,7.839728e-13
2.658853e-15,0.0,1.595312e-15
8.62256e-19,0.0,5.173536e-19
-2.689944e-20,0.0,-1.613966e-20
-1.799515e-22,0.0,-1.079709e-22
0.0,0.0,0.0
0.0,0.0,0.0
-1.307093e-12,0.0,-7.842557e-13
-2.661824e-15,0.0,-1.597094e-15
-8.752379e-19,0.0,-5.251428e-19
2.685378e-20,0.0,1.611227e-20
1.798217e-22,0.0,1.07893e-22
8.063347e-25,0.0,4.838008e-25
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
2.658818e-15,0.0,1.595291e-15
8.621039e-19,0.0,5.172624e-19
-2.689997e-20,0.0,-1.613998e-20
0.0,0.0,0.0
-2.613232e-12,0.0,-1.567939e-12
0.0,0.0,0.0
-1.306605e-12,0.0,-7.839629e-13
-2.658748e-15,0.0,-1.595249e-15
-8.618005e-19,0.0,-5.170803e-19
2.690104e-20,0.0,1.614062e-20
1.79956e-22,0.0,1.079736e-22
8.066064e-25,0.0,4.839638e-25
2.893355e-27,0.0,1.736013e-27
8.419803e-30,0.0,5.051882e-30
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
-2.658818e-15,0.0,-1.595291e-15
-8.621039e-19,0.0,-5.172624e-19
2.689997e-20,0.0,1.613998e-20
1.79953e-22,0.0,1.079718e-22
8.066002e-25,0.0,4.839602e-25
2.893353e-27,0.0,1.736012e-27
8.419864e-30,0.0,5.051918e-30
1.786197e-32,0.0,1.071718e-32
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
0.0,0.0,0.0
2.613226e-12,0.0,1.567936e-12
5.317601e-15,0.0,3.190561e-15
1.724057e-18,0.0,1.034434e-18
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.305658e-12,0.0,7.833948e-13
2.652783e-15,0.0,1.59167e-15
8.357345e-19,0.0,5.014407e-19
-2.699272e-20,0.0,-1.619563e-20
-1.802167e-22,0.0,-1.0813e-22
-8.071334e-25,0.0,-4.8428e-25
-2.893506e-27,0.0,-1.736104e-27
-8.414346e-30,0.0,-5.048607e-30
-1.782535e-32,0.0,-1.069521e-32
-9.981227e-36,0.0,-5.988736e-36
0.0,0.0,0.0
0.0,0.0,0.0
-2.612755e-12,0.0,-1.567653e-12
-5.314631e-15,0.0,-3.188779e-15
-1.711075e-18,0.0,-1.026645e-18
5.384614e-20,0.0,3.230768e-20
3.600373e-22,0.0,2.160224e-22
1.613466e-24,0.0,9.680797e-25
5.786782e-27,0.0,3.47207e-27
1.683698e-29,0.0,1.010219e-29
0.0,0.0,0.0
-1.306616e-12,0.0,-7.839695e-13
-2.658818e-15,0.0,-1.595291e-15
0.0,0.0,0.0
-2.613232e-12,0.0,-1.567939e-12
0.0,0.0,0.0
-1.306605e-12,0.0,-7.839629e-13
0.0,0.0,0.0
-1.30661e-12,0.0,-7.839662e-13
-2.658783e-15,0.0,-1.59527e-15
0.0,0.0,0.0
2.613232e-12,0.0,1.567939e-12
5.317636e-15,0.0,3.190581e-15
1.724209e-18,0.0,1.034525e-18
-5.379994e-20,0.0,-3.227997e-20
-3.59906e-22,0.0,-2.159436e-22
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
2.658818e-15,0.0,1.595291e-15
8.621039e-19,0.0,5.172624e-19
-2.689997e-20,0.0,-1.613998e-20
-1.79953e-22,0.0,-1.079718e-22
