lt,rt,lp,rp,lv,rv
457.0,450.0,198.0,185.0,0.0,0.0
20466.0,20284.0,217.0,204.0,949.0,957.0
41014.0,40828.0,262.0,251.0,2190.0,2287.0
62134.0,61951.0,323.0,317.0,2888.0,3124.0
78427.0,78241.0,380.0,376.0,3496.0,3621.0
99577.0,99396.0,462.0,459.0,3878.0,3923.0
120299.0,120115.0,550.0,546.0,4246.0,4198.0
141189.0,141006.0,643.0,639.0,4452.0,4451.0
158067.0,157882.0,722.0,717.0,4679.0,4622.0
178956.0,178773.0,820.0,814.0,4692.0,4642.0
200294.0,200109.0,920.0,916.0,4686.0,4780.0
221183.0,221000.0,1018.0,1017.0,4691.0,4834.0
242256.0,242072.0,1118.0,1122.0,4744.0,4982.0
259297.0,259115.0,1198.0,1208.0,4693.0,5046.0
280371.0,280186.0,1301.0,1314.0,4888.0,5030.0
301873.0,301692.0,1404.0,1423.0,4790.0,5068.0
318513.0,318327.0,1484.0,1507.0,4805.0,5049.0
339574.0,339393.0,1586.0,1614.0,4843.0,5079.0
361058.0,360872.0,1692.0,1725.0,4934.0,5167.0
382116.0,381934.0,1797.0,1835.0,4985.0,5222.0
399197.0,399011.0,1884.0,1925.0,5092.0,5270.0
420258.0,420077.0,1993.0,2037.0,5175.0,5316.0
441333.0,441147.0,2104.0,2151.0,5266.0,5410.0
458373.0,458190.0,2195.0,2243.0,5339.0,5398.0
479444.0,479258.0,2307.0,2357.0,5316.0,5411.0
500948.0,500765.0,2421.0,2474.0,5302.0,5440.0
522018.0,521833.0,2533.0,2589.0,5314.0,5458.0
538646.0,538466.0,2622.0,2680.0,5350.0,5471.0
560158.0,559973.0,2737.0,2798.0,5347.0,5486.0
581217.0,581034.0,2850.0,2914.0,5365.0,5507.0
598297.0,598112.0,2942.0,3008.0,5384.0,5504.0
619358.0,619175.0,3057.0,3123.0,5461.0,5459.0
640429.0,640244.0,3170.0,3239.0,5362.0,5505.0
661901.0,661721.0,3286.0,3358.0,5402.0,5540.0
678542.0,678357.0,3376.0,3449.0,5406.0,5470.0
700044.0,699862.0,3492.0,3568.0,5396.0,5533.0
721114.0,720927.0,3606.0,3684.0,5410.0,5506.0
742174.0,741991.0,3720.0,3801.0,5413.0,5554.0
759225.0,759039.0,3812.0,3895.0,5393.0,5513.0
780288.0,780106.0,3926.0,4011.0,5413.0,5506.0
801801.0,801617.0,4042.0,4129.0,5392.0,5485.0
818431.0,818250.0,4132.0,4220.0,5409.0,5470.0
839505.0,839319.0,4246.0,4336.0,5410.0,5505.0
861010.0,860827.0,4362.0,4454.0,5394.0,5486.0
882079.0,881893.0,4476.0,4569.0,5410.0,5458.0
899146.0,898963.0,4569.0,4663.0,5447.0,5506.0
920218.0,920032.0,4683.0,4778.0,5410.0,5458.0
941277.0,941095.0,4797.0,4893.0,5413.0,5459.0
958329.0,958144.0,4888.0,4986.0,5335.0,5455.0
979391.0,979208.0,5001.0,5101.0,5365.0,5459.0
1000903.0,1000719.0,5117.0,5219.0,5392.0,5485.0
1022138.0,1021955.0,5232.0,5336.0,5415.0,5509.0
1038952.0,1038766.0,5322.0,5429.0,5351.0,5532.0
1060625.0,1060445.0,5439.0,5548.0,5399.0,5489.0
1081873.0,1081688.0,5554.0,5665.0,5412.0,5507.0
1099118.0,1098935.0,5647.0,5760.0,5392.0,5508.0
1120366.0,1120180.0,5761.0,5877.0,5365.0,5507.0
1141601.0,1141420.0,5875.0,5993.0,5368.0,5461.0
1158827.0,1158643.0,5968.0,6088.0,5397.0,5515.0
1180065.0,1179883.0,6083.0,6205.0,5416.0,5508.0
1201750.0,1201565.0,6199.0,6324.0,5349.0,5488.0
1218552.0,1218372.0,6289.0,6416.0,5354.0,5473.0
1239798.0,1239614.0,6403.0,6533.0,5366.0,5508.0
1261444.0,1261261.0,6519.0,6651.0,5359.0,5450.0
1278260.0,1278075.0,6609.0,6743.0,5349.0,5471.0
1299937.0,1299756.0,6725.0,6861.0,5353.0,5442.0
1321183.0,1320997.0,6838.0,6977.0,5318.0,5461.0
1342419.0,1342236.0,6951.0,7093.0,5320.0,5461.0
1359642.0,1359458.0,7042.0,7187.0,5282.0,5458.0
1380879.0,1380697.0,7155.0,7302.0,5321.0,5414.0
1398133.0,1397947.0,7248.0,7396.0,5389.0,5449.0
1419369.0,1419186.0,7362.0,7511.0,5369.0,5414.0
1440615.0,1440431.0,7475.0,7626.0,5318.0,5413.0
1462263.0,1462081.0,7589.0,7743.0,5266.0,5403.0
1479078.0,1478892.0,7679.0,7835.0,5350.0,5472.0
1500754.0,1500573.0,7794.0,7952.0,5306.0,5396.0
1522001.0,1521816.0,7908.0,8068.0,5365.0,5460.0
1538802.0,1538621.0,7998.0,8159.0,5354.0,5415.0
1560487.0,1560302.0,8113.0,8278.0,5304.0,5488.0
1581722.0,1581540.0,8225.0,8392.0,5274.0,5367.0
1598978.0,1598792.0,8317.0,8485.0,5330.0,5390.0
1620210.0,1620028.0,8430.0,8599.0,5322.0,5368.0
1641455.0,1641270.0,8544.0,8714.0,5365.0,5413.0
1658670.0,1658489.0,8636.0,8806.0,5343.0,5343.0
1679915.0,1679730.0,8750.0,8919.0,5366.0,5319.0
1701589.0,1701408.0,8865.0,9035.0,5306.0,5351.0
1718403.0,1718217.0,8954.0,9125.0,5291.0,5353.0
1739637.0,1739456.0,9067.0,9239.0,5322.0,5367.0
1761295.0,1761110.0,9182.0,9357.0,5309.0,5449.0
1778100.0,1777917.0,9271.0,9448.0,5294.0,5414.0
