lt,rt,lp,rp,lv,rv
513.0,506.0,219.0,194.0,0.0,0.0
16086.0,15844.0,231.0,205.0,770.0,717.0
36539.0,36294.0,270.0,246.0,1907.0,2004.0
57592.0,57351.0,330.0,308.0,2850.0,2944.0
78217.0,77972.0,400.0,382.0,3393.0,3588.0
99267.0,99025.0,480.0,466.0,3800.0,3989.0
119895.0,119650.0,563.0,553.0,4023.0,4217.0
136283.0,136040.0,632.0,624.0,4208.0,4331.0
157529.0,157285.0,724.0,718.0,4331.0,4424.0
178318.0,178075.0,815.0,811.0,4377.0,4472.0
199562.0,199318.0,910.0,907.0,4472.0,4519.0
215954.0,215711.0,983.0,981.0,4452.0,4513.0
236759.0,236513.0,1077.0,1077.0,4519.0,4614.0
258161.0,257920.0,1173.0,1175.0,4485.0,4577.0
279143.0,278897.0,1269.0,1271.0,4574.0,4576.0
296148.0,295906.0,1346.0,1349.0,4527.0,4586.0
317129.0,316883.0,1442.0,1445.0,4576.0,4576.0
338093.0,337850.0,1537.0,1541.0,4531.0,4578.0
359484.0,359240.0,1634.0,1638.0,4534.0,4535.0
376047.0,375805.0,1709.0,1712.0,4526.0,4466.0
397466.0,397221.0,1805.0,1808.0,4483.0,4482.0
418431.0,418189.0,1900.0,1903.0,4531.0,4530.0
439410.0,439166.0,1995.0,1998.0,4528.0,4528.0
456383.0,456142.0,2071.0,2074.0,4476.0,4476.0
477363.0,477119.0,2165.0,2168.0,4481.0,4481.0
498771.0,498528.0,2262.0,2264.0,4531.0,4483.0
519749.0,519505.0,2356.0,2358.0,4480.0,4481.0
536312.0,536070.0,2431.0,2432.0,4526.0,4466.0
557734.0,557490.0,2528.0,2528.0,4529.0,4482.0
578705.0,578464.0,2622.0,2622.0,4481.0,4481.0
595727.0,595483.0,2698.0,2698.0,4464.0,4465.0
616694.0,616454.0,2793.0,2793.0,4531.0,4530.0
637679.0,637435.0,2887.0,2887.0,4479.0,4480.0
659057.0,658815.0,2983.0,2983.0,4491.0,4490.0
675640.0,675396.0,3057.0,3057.0,4460.0,4462.0
697047.0,696805.0,3153.0,3153.0,4485.0,4484.0
718029.0,717783.0,3248.0,3247.0,4527.0,4480.0
738996.0,738753.0,3342.0,3341.0,4483.0,4482.0
755986.0,755741.0,3419.0,3417.0,4530.0,4473.0
776951.0,776708.0,3513.0,3512.0,4484.0,4530.0
798374.0,798130.0,3609.0,3609.0,4480.0,4528.0
819341.0,819099.0,3704.0,3703.0,4530.0,4482.0
835925.0,835679.0,3779.0,3778.0,4521.0,4523.0
857330.0,857088.0,3876.0,3874.0,4532.0,4484.0
878313.0,878067.0,3970.0,3968.0,4479.0,4480.0
899721.0,899480.0,4066.0,4064.0,4484.0,4483.0
916309.0,916063.0,4140.0,4139.0,4459.0,4522.0
937276.0,937034.0,4235.0,4233.0,4532.0,4482.0
958670.0,958425.0,4331.0,4330.0,4487.0,4534.0
979638.0,979396.0,4425.0,4425.0,4482.0,4530.0
996661.0,996417.0,4502.0,4501.0,4522.0,4465.0
1017626.0,1017386.0,4595.0,4595.0,4436.0,4482.0
1038783.0,1038536.0,4690.0,4689.0,4490.0,4444.0
1055932.0,1055689.0,4767.0,4765.0,4489.0,4430.0
1077087.0,1076841.0,4862.0,4859.0,4491.0,4444.0
1098668.0,1098427.0,4958.0,4956.0,4448.0,4493.0
1119824.0,1119578.0,5053.0,5051.0,4490.0,4491.0
1136560.0,1136320.0,5127.0,5126.0,4420.0,4480.0
1158159.0,1157913.0,5223.0,5223.0,4445.0,4491.0
1179300.0,1179057.0,5318.0,5318.0,4493.0,4493.0
1196496.0,1196253.0,5395.0,5395.0,4476.0,4478.0
1217638.0,1217397.0,5489.0,5490.0,4446.0,4492.0
1238796.0,1238550.0,5584.0,5585.0,4490.0,4491.0
1255946.0,1255704.0,5661.0,5662.0,4489.0,4489.0
1277104.0,1276858.0,5756.0,5757.0,4490.0,4490.0
1298687.0,1298446.0,5852.0,5854.0,4448.0,4493.0
1319845.0,1319600.0,5946.0,5948.0,4442.0,4443.0
1336582.0,1336341.0,6022.0,6022.0,4539.0,4420.0
1358180.0,1357934.0,6118.0,6119.0,4446.0,4491.0
1379320.0,1379077.0,6213.0,6213.0,4493.0,4445.0
1396517.0,1396272.0,6290.0,6289.0,4476.0,4420.0
1417658.0,1417416.0,6385.0,6383.0,4494.0,4445.0
1438813.0,1438567.0,6480.0,6477.0,4490.0,4444.0
1455962.0,1455720.0,6557.0,6553.0,4489.0,4430.0
1477120.0,1476874.0,6652.0,6647.0,4490.0,4443.0
1498702.0,1498461.0,6749.0,6743.0,4494.0,4447.0
1519860.0,1519614.0,6845.0,6837.0,4537.0,4443.0
1536597.0,1536356.0,6921.0,6911.0,4539.0,4420.0
1558194.0,1557948.0,7019.0,7006.0,4538.0,4399.0
1579335.0,1579093.0,7115.0,7099.0,4540.0,4398.0
1596532.0,1596287.0,7193.0,7175.0,4534.0,4420.0
1617672.0,1617432.0,7289.0,7269.0,4541.0,4445.0
1638831.0,1638585.0,7385.0,7363.0,4537.0,4444.0
1655979.0,1655737.0,7462.0,7439.0,4489.0,4430.0
1677135.0,1676889.0,7557.0,7532.0,4490.0,4396.0
1698715.0,1698474.0,7655.0,7627.0,4541.0,4401.0
1719869.0,1719623.0,7750.0,7720.0,4490.0,4397.0
1736606.0,1736365.0,7825.0,7794.0,4479.0,4420.0
1758202.0,1757956.0,7923.0,7889.0,4539.0,4399.0
1779341.0,1779100.0,8019.0,7982.0,4540.0,4398.0
1796537.0,1796293.0,8097.0,8059.0,4535.0,4478.0
1817680.0,1817439.0,8192.0,8153.0,4493.0,4445.0
1838836.0,1838590.0,8287.0,8248.0,4490.0,4491.0
1855985.0,1855742.0,8365.0,8324.0,4547.0,4430.0
1877140.0,1876894.0,8460.0,8419.0,4491.0,4491.0
1898722.0,1898481.0,8557.0,8515.0,4494.0,4447.0
1919878.0,1919632.0,8652.0,8609.0,4490.0,4444.0
1936616.0,1936375.0,8727.0,8683.0,4479.0,4419.0
1958213.0,1957967.0,8824.0,8778.0,4492.0,4399.0
1979350.0,1979109.0,8919.0,8871.0,4494.0,4399.0
1996545.0,1996301.0,8996.0,8947.0,4477.0,4420.0
